Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_26:Patched_259L_R18.bin]
251518.48,-3.318923,0.20370498,0.2422049,0.24501164,101.49103,23.30828,13.80634,-4.3879285,78.986885,23.196232,115.441,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.5,216.75,2093.0,0.0,-8.2734375,0.097717285,107.06311,12987.14,13005.713,1100.0834,501.75052,19.435614,20.3046,0.0,2.4583004,2.0,39.520264,45.112774,18.749975,18.749975,1.516,0.0,-26.445312,0.03173828,0.0,0.0,0.0,0.0,0.0,0.8925781,0.8925781,55.326843,2.3437505,71.245514,71.85367,0.0,104.99994,17.089844,1.0,107.59379,80.86946,470.625,544.5,0.11454977,69.21875,0.0,63.8125,10.270158,58.999985,30.81665,1.0,28.62,9.53125,0.0,-79.37927,88.96484,8.77533,3.6816406,29.74,27.58,29.23,27.05,0
251518.53,-3.2951384,0.25023198,0.24356031,0.24526598,101.49103,23.30828,13.807016,-4.3205147,88.605865,26.108084,115.486,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.5,216.75,2100.0,0.0,-8.5546875,0.097351074,107.02994,12899.579,12996.161,1100.0834,502.2812,20.686106,20.241016,0.0,2.4353902,2.0,40.20233,45.112774,18.749975,18.749975,1.524,0.0,-26.773438,0.032714844,0.0,0.0,0.0,0.0,0.0,0.8925781,0.8925781,55.326843,2.3437505,71.71019,72.07027,0.0,104.99994,17.089844,1.0,107.71816,80.86946,471.0,544.5,0.09163982,69.75,0.0,63.9375,10.270158,58.999985,30.944824,1.0,28.69,9.8125,0.0,-79.660034,88.61084,8.128357,3.6816406,29.81,27.67,29.33,27.06,0
251518.56,-3.2961106,0.2688428,0.24317199,0.2456475,101.49103,23.30828,13.819208,-4.28111,88.620255,26.174498,115.521,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.5,216.75,2105.0,0.0,-8.5234375,0.09741211,107.10457,12968.035,12974.403,1100.0834,502.2812,19.626368,20.21982,0.0,2.4170623,2.0,39.622498,45.112774,18.749975,18.749975,1.524,0.0,-26.976562,0.0335083,0.0,0.0,0.0,0.0,0.0,0.8925781,0.8935547,55.37262,2.3437505,71.981804,72.46346,0.0,104.99994,17.089844,1.0,107.75133,80.86946,471.0,544.5,0.07331186,69.625,0.0,64.03125,10.270158,58.999985,30.993652,1.0,28.79,10.0625,0.0,-79.748535,88.33618,7.73468,3.6816406,29.88,27.71,29.44,27.16,0
251518.6,-3.2768884,0.2762871,0.24346292,0.2460714,101.49103,23.30828,13.821883,-4.2748947,88.59997,26.267958,115.562,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.5,216.75,2113.0,0.0,-8.4453125,0.09741211,107.12115,12918.683,13024.817,1100.0834,502.81186,20.346989,20.346989,0.0,2.4024,2.0,40.020752,45.112774,18.749975,18.749975,1.528,0.0,-27.0,0.034851074,0.0,0.0,0.0,0.0,0.0,0.89453125,0.8935547,55.384827,2.3437505,72.02464,72.57748,0.0,104.99994,17.089844,1.0,107.875694,80.86946,471.0,544.5,0.058649488,69.78125,0.0,64.21875,10.270158,58.999985,31.10962,1.0,28.84,10.46875,0.0,-80.0293,87.86621,6.9595337,3.6816406,29.93,27.8,29.46,27.18,0
251518.64,-3.2615108,0.27926484,0.24423407,0.24628334,101.49103,23.30828,13.8120365,-4.2542048,88.61701,26.360048,115.599,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.125,216.75,2120.0,0.0,-8.421875,0.09814453,107.187485,12870.392,13068.332,1100.0834,502.81186,21.978987,20.452963,0.0,2.54692,2.0,40.974426,45.112774,18.749975,18.749975,1.54,0.0,-27.085938,0.035705566,0.0,0.0,0.0,0.0,0.0,0.8984375,0.89453125,55.43213,2.3437505,72.16726,72.62323,0.0,104.99994,17.089844,1.0,107.9835,80.86946,471.0,544.5,0.20316958,70.0625,0.0,64.3125,10.270158,58.999985,31.37207,1.0,28.9,10.71875,0.0,-80.270386,87.61597,6.4559937,3.6816406,30.03,27.88,29.45,27.31,0
251518.69,-3.269209,0.29920593,0.24348965,0.24882673,101.49103,23.30828,13.816863,-4.222977,93.08804,27.703064,115.642,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.5,216.75,2121.0,0.0,-8.4296875,0.09814453,107.21236,12940.971,13046.575,1100.0834,502.81186,21.27956,20.410574,0.0,2.6625361,2.0,40.59906,45.112774,18.749975,18.749975,1.544,0.0,-27.132812,0.03778076,0.0,0.0,0.0,0.0,0.0,0.8984375,0.8935547,55.43213,2.3437505,72.38251,73.44896,0.0,104.99994,17.285156,1.0,108.12445,80.86946,471.375,544.5,0.31878567,69.78125,0.0,65.34375,10.270158,58.999985,31.671143,1.0,29.01,11.34375,0.0,-80.64575,86.89575,5.281067,3.6816406,30.14,27.97,29.51,27.5,0
251518.72,-3.2753673,0.30718237,0.2470194,0.25098857,101.49103,23.30828,13.826101,-4.1508636,93.0834,27.793106,115.683,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.5,216.75,2128.0,0.0,-8.3828125,0.09820557,107.253815,12960.075,13172.344,1100.0834,503.0772,23.907713,20.770885,0.0,2.755029,2.0,42.245483,45.112774,19.124975,18.749975,1.544,0.0,-27.039062,0.040527344,0.0,0.0,0.0,0.0,0.0,0.8955078,0.89453125,55.47943,2.3437505,72.87958,73.76396,0.0,104.99994,17.480469,1.0,108.19909,80.86946,471.375,544.5,0.41127855,71.40625,0.0,66.4375,10.270158,58.999985,32.006836,1.0,29.07,12.15625,0.0,-80.68237,85.9436,4.2251587,3.6816406,30.18,27.98,29.68,27.56,0
251518.77,-3.280294,0.31037295,0.2502683,0.25344718,101.49103,23.30828,13.838427,-4.052725,93.10986,27.879396,115.719,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.125,216.75,2134.0,0.0,-8.3046875,0.09790039,107.303566,13024.287,13352.242,1100.0834,503.0772,26.15436,21.088806,0.0,2.8290234,2.0,43.66455,45.112774,18.749975,18.749975,1.556,0.0,-27.234375,0.043395996,0.0,0.0,0.0,0.0,0.0,0.89746094,0.8964844,55.52063,2.3437505,73.55604,74.25312,0.0,104.99994,17.675781,1.0,108.38149,80.86946,471.375,544.5,0.48527282,72.875,0.0,67.65625,10.736983,58.999985,32.39746,1.0,29.14,13.03125,0.0,-81.12488,84.93042,2.7023315,3.6816406,30.23,28.07,29.84,27.71,0
251518.8,-3.284235,0.2928992,0.24993376,0.255058,101.49103,23.30828,13.835336,-3.9629548,88.66724,26.686014,115.764,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.125,216.75,2145.0,0.0,-8.28125,0.09869385,107.44453,13165.445,13289.092,1100.0834,503.34253,24.56475,21.025223,0.0,2.8882186,2.0,42.80243,45.112774,18.749975,18.749975,1.576,0.0,-27.8125,0.04486084,0.0,0.0,0.0,0.0,0.0,0.89746094,0.8964844,55.508423,2.3437505,74.17481,75.32552,0.0,104.99994,17.773438,1.0,108.52246,80.86946,471.375,544.5,0.5444682,72.5,0.0,68.21875,10.736983,58.999985,32.67212,1.0,29.2,13.46875,0.0,-81.46057,84.47876,1.8783569,3.6816406,30.42,28.2,29.83,27.74,0
251518.84,-3.2673879,0.28590968,0.2524572,0.25518516,101.49103,23.30828,13.839032,-3.8892918,88.65107,26.730904,115.802,0.0,7.643,24.84,44.72,0.0,99.248116,0.0,0.0,451.125,216.75,2149.0,0.0,-8.3046875,0.09875488,107.485985,13316.687,13413.27,1100.0834,503.34253,23.144701,21.215975,0.0,2.935575,2.0,42.097473,45.112774,18.374977,18.749975,1.576,0.0,-27.804688,0.046020508,0.0,0.0,0.0,0.0,0.0,0.89746094,0.89746094,55.58014,2.3437505,74.68256,75.26438,0.0,104.99994,17.773438,1.0,108.52246,80.86946,471.375,544.5,0.5918246,73.78125,0.0,68.375,10.736983,58.999985,32.95288,1.0,29.28,13.8125,0.0,-81.484985,84.08203,1.4328003,3.6816406,30.42,28.26,29.99,27.73,0
