Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_26:Patched_259L_R18.bin]
251300.89,0.03826244,-0.6545373,0.078729846,0.07863264,101.49244,23.30828,13.895962,-11.094036,0.0,0.0,56.44,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2369.0,0.0,-13.25,0.107666016,105.33013,10014.314,10014.314,1100.0834,503.8732,0.0,5.5954223,0.0,2.3831253,3.0,0.0,46.616528,38.99995,0.0,0.0,0.0,20.914062,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,46.006775,2.3831415,25.022457,24.98552,0.0,98.999954,0.0,1.0,106.20905,101.49105,720.0,549.375,-1.6249942E-5,-24.4375,0.0,-29.78125,4.2014284,52.99996,21.710205,1.0,52.17,0.0,0.0,-3.5858154,99.998474,96.41266,3.6816406,52.11,52.04,52.04,51.95,0
251300.92,0.050609954,-0.6555649,0.07903904,0.07854786,101.4923,23.30828,13.887329,-11.092352,0.0,0.0,56.482,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2361.0,0.0,-13.21875,0.1083374,105.33013,10019.621,10019.621,1100.0834,503.60788,0.0,5.6378117,0.0,2.371311,3.0,0.0,46.616528,38.99995,0.0,0.0,0.0,20.414062,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,46.006775,2.371324,25.033926,24.944677,0.0,98.999954,0.0,1.0,106.20905,101.49105,720.0,549.375,-1.29999535E-5,-24.40625,0.0,-29.78125,4.2014284,52.99996,21.728516,1.0,52.05,0.0,0.0,-3.5247803,99.998474,96.473694,3.6816406,52.01,51.98,52.01,51.9,0
251300.95,0.060487963,-0.65597594,0.07862431,0.078590244,101.49218,23.30828,13.893005,-11.104915,0.0,0.0,56.515,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2360.0,0.0,-13.2578125,0.109313965,105.34671,10003.701,10003.701,1100.0834,503.60788,0.0,5.6166167,0.0,2.3630414,3.0,0.0,46.616528,38.99995,0.0,0.0,0.0,20.585938,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,46.002197,2.363052,24.947214,24.946579,0.0,98.999954,0.0,1.0,106.15931,101.49105,720.0,549.375,-1.0399963E-5,-24.40625,0.0,-29.78125,4.2014284,52.99996,21.54541,1.0,51.95,0.0,0.0,-3.4332275,99.998474,96.56525,3.6816406,51.86,51.83,51.7,51.62,0
251301.02,0.02839037,-0.6561404,0.07888224,0.07863264,101.492065,23.30828,13.896978,-11.107197,0.0,0.0,56.56,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2352.0,0.0,-13.28125,0.10961914,105.34671,10021.743,10021.743,1100.0834,503.60788,0.0,5.6166167,0.0,2.3572528,3.0,0.0,46.616528,38.62495,0.0,0.0,0.0,20.648438,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,46.002197,2.3572612,24.931366,24.887377,0.0,98.999954,0.0,1.0,106.267105,101.49105,720.0,549.375,-8.31997E-6,-24.375,0.0,-29.78125,4.2014284,52.99996,21.765137,1.0,51.86,0.0,0.0,-3.604126,99.998474,96.39435,3.6816406,51.83,51.82,51.53,51.62,0
251301.05,0.022712296,-0.65620613,0.07867571,0.07863264,101.4928,23.30828,13.888041,-11.105856,0.0,0.0,56.596,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2350.0,0.0,-13.2734375,0.10998535,105.355,10017.498,10017.498,1100.0834,503.60788,0.0,5.5954223,0.0,2.3532012,3.0,0.0,46.616528,38.62495,0.0,0.0,0.0,20.710938,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,45.584106,2.3532078,24.941341,24.953585,0.0,98.999954,0.0,1.0,106.308556,101.499344,720.0,549.375,-6.6559764E-6,-24.375,0.0,-29.78125,4.2014284,52.99996,21.801758,1.0,51.85,0.0,0.0,-3.8146973,99.998474,96.18378,3.6816406,51.21,51.33,51.68,51.7,0
251301.1,-0.021830162,-0.63748246,0.078878656,0.07871741,101.493454,23.30828,13.887644,-11.102374,0.0,0.0,56.636,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2339.0,0.0,-13.1484375,0.11029053,105.355,10017.498,10017.498,1100.0834,503.60788,0.0,5.6166167,0.0,2.3503652,3.0,0.0,46.616528,38.62495,0.0,0.0,0.0,20.796875,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,45.584106,2.3503704,24.965994,24.926832,0.0,98.999954,0.0,1.0,106.23394,101.499344,720.0,549.375,-5.3247813E-6,-24.3125,0.0,-29.6875,4.2014284,52.99996,21.710205,1.0,51.57,0.0,0.0,-3.427124,99.998474,96.57135,3.6816406,52.01,51.8,51.47,51.36,0
251301.12,-0.01746413,-0.667493,0.07884852,0.07867502,101.49322,23.30828,13.881507,-11.103252,0.0,0.0,56.676,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2336.0,0.0,-12.828125,0.1105957,105.34671,10028.111,10028.111,1100.0834,503.34253,0.0,5.5954223,0.0,2.34838,3.0,0.0,46.616528,38.62495,0.0,0.0,0.0,21.070312,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,45.584106,2.3483844,24.95971,24.928171,0.0,98.999954,0.0,1.0,106.35002,101.49105,720.0,549.0,-4.2598253E-6,-24.34375,0.0,-29.6875,4.2014284,52.99996,21.73462,1.0,51.58,0.0,0.0,-3.6621094,99.998474,96.336365,3.6816406,51.29,51.4,51.35,51.44,0
251301.17,-0.013971304,-0.67949724,0.07831358,0.07867502,101.493004,23.30828,13.88307,-11.116846,0.0,0.0,56.72,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2344.0,0.0,-12.859375,0.111572266,105.37159,10033.418,10033.418,1100.0834,503.34253,0.0,5.6166167,0.0,2.3469906,3.0,0.0,46.616528,38.62495,0.0,0.0,0.0,21.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,45.581055,2.346994,24.865788,24.931328,0.0,98.999954,0.0,1.0,106.32515,101.49105,720.0,549.0,-3.4078603E-6,-24.34375,0.0,-29.6875,4.2014284,52.99996,21.795654,1.0,51.6,0.0,0.0,-3.62854,99.998474,96.369934,3.6816406,51.65,51.62,51.14,51.4,0
251301.2,-0.011177043,-0.77804893,0.078419805,0.07867502,101.49281,23.30828,13.884165,-11.121303,0.0,0.0,56.76,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2340.0,0.0,-12.9296875,0.11224365,105.37159,10030.234,10030.234,1100.0834,503.34253,0.0,5.5742273,0.0,2.346018,3.0,0.0,46.616528,38.62495,0.0,0.0,0.0,21.007812,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,45.581055,2.3460207,24.83488,24.901775,0.0,98.999954,0.0,1.0,106.25881,101.49105,720.0,549.0,-2.7262884E-6,-24.34375,0.0,-29.6875,4.2014284,52.99996,21.691895,1.0,51.5,0.0,0.0,-3.5003662,99.998474,96.49811,3.6816406,51.25,51.38,51.44,51.8,0
251301.25,0.011058365,-0.7799696,0.07826357,0.07867502,101.49264,23.30828,13.884931,-11.12344,0.0,0.0,56.796,0.0,6.44,30.561,47.56,0.0,96.99245,0.0,0.0,0.0,198.0,2342.0,0.0,-12.921875,0.11254883,105.37159,10028.111,10028.111,1100.0834,503.34253,0.0,5.5954223,0.0,2.3453372,3.0,0.0,46.616528,38.62495,0.0,0.0,0.0,20.914062,0.0,0.0,0.0,0.0,0.0,0.0,1.9999695,1.0,45.16754,2.3453393,24.819975,24.904972,0.0,98.999954,0.0,1.0,106.32515,101.49105,720.0,549.0,-2.1810308E-6,-24.34375,0.0,-29.6875,4.2014284,52.99996,21.850586,1.0,51.32,0.0,0.0,-3.668213,99.998474,96.33026,3.6816406,51.27,51.33,50.6,50.61,0
