Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),knks_thd[0] (V),knks_thd[1] (V),knks_thd[2] (V),knks_thd[3] (V),nl_c42b2[0] (V),nl_c42b2[1] (V),nl_c42b2[2] (V),nl_c42b2[3] (V),nl_c42c2[0] (V),nl_c42c2[1] (V),nl_c42c2[2] (V),nl_c42c2[3] (V),nl_c4274[0] (V),nl_c4274[1] (V),nl_c4274[2] (V),nl_c4274[3] (V),nl_c429c[0] (V),nl_c429c[1] (V),nl_c429c[2] (V),nl_c429c[3] (V),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_26:Patched_259L_R18.bin]
322931.9,0.016117312,0.006158302,0.15048581,0.14921126,101.6,19.54886,13.860266,-8.284834,16.99653,6.949332,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,469.125,220.125,2914.0,0.0,-7.4609375,0.084228516,106.13443,7795.0435,7957.9595,1100.0834,521.6507,10.4702215,9.325704,0.0,0.9184675,3.0,24.568176,33.742157,29.624962,22.124971,0.9,0.0,-18.023438,0.009643555,0.0,0.0,0.0,0.0,0.0,1.640625,2.0898438,2.109375,2.2460938,0.6815442,0.94949263,0.86976427,0.82444495,0.35141528,0.5884642,0.3761349,0.48851758,0.7102312,0.9423209,0.8720531,0.85114825,0.33287555,0.5796902,0.3729305,0.49874112,1.0332031,1.0,54.1214,2.3437505,44.493538,44.229813,0.0,109.00002,7.8125,1.0,108.34004,80.96067,484.875,543.375,-1.425283,26.46875,0.0,24.875,7.936031,59.999905,28.399658,1.0,63.52,2.90625,0.0,-80.80444,96.44165,15.388489,3.6572266,63.71,63.54,63.32,63.11,0
322931.94,-0.0071061496,0.002463321,0.15053236,0.14976232,101.599884,19.54886,13.850623,-8.231406,17.007483,6.9609694,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,469.875,220.125,2917.0,0.0,-7.4140625,0.084228516,106.17589,7787.614,7965.9194,1100.0834,521.9161,10.978896,9.262119,0.0,1.0472741,3.0,24.874878,33.7514,29.624962,22.124971,0.864,0.0,-18.851562,0.010192871,0.0,0.0,0.0,0.0,0.0,1.640625,2.109375,2.109375,2.2265625,0.68284124,0.9551385,0.86984056,0.81986725,0.35156786,0.59235525,0.3759823,0.4855421,0.71168077,1.080415,0.8416876,0.7344167,0.3540856,0.6646067,0.35996032,0.4303044,1.0292969,1.0,54.145813,2.3437505,44.861694,44.70377,0.0,109.00002,7.8125,1.0,108.30688,80.96067,485.25,543.375,-1.2964764,26.375,0.0,24.90625,7.936031,59.999912,28.533936,1.0,63.62,3.0625,0.0,-80.81665,96.240234,15.168762,3.6572266,63.42,63.54,63.17,63.28,0
322931.97,-0.0056849197,9.853285E-4,0.1510192,0.15294151,101.599785,19.54886,13.855593,-8.205875,16.911768,6.924167,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,470.25,220.125,2918.0,0.0,-7.34375,0.0848999,106.20077,7972.2876,7964.8584,1100.0834,521.9161,8.859418,9.219729,0.0,1.1503193,3.0,23.762512,33.75972,29.624962,22.124971,0.856,0.0,-18.992188,0.013549805,0.0,0.0,0.0,0.0,0.0,1.640625,2.109375,2.109375,2.2460938,0.67742425,0.9551385,0.8683909,0.82444495,0.34828717,0.59235525,0.37514305,0.4884413,0.5764096,0.9469749,1.0175478,0.9261463,0.28679332,0.58251315,0.4351873,0.5426871,1.0166016,1.0,54.13971,2.3437505,45.03758,45.469944,0.0,109.00002,8.0078125,1.0,108.10787,80.96067,484.875,543.375,-1.1934311,26.59375,0.0,26.03125,7.936031,59.99992,28.088379,1.0,63.61,4.0625,0.0,-80.52673,95.01953,14.146423,3.6572266,63.53,63.49,62.98,63.05,0
322932.0,-0.004547936,3.9413138E-4,0.15160516,0.15243284,101.59969,19.54886,13.853211,-8.156856,17.021711,6.9667926,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,470.25,220.125,2917.0,0.0,-7.328125,0.08496094,106.22564,7914.975,7960.0825,1100.0834,521.9161,9.749599,9.1773405,0.0,1.0765055,3.0,24.273682,33.76721,29.249962,22.124971,0.848,0.0,-19.070312,0.0126953125,0.0,0.0,0.0,0.0,0.0,1.6210938,2.109375,2.109375,2.2460938,0.67063403,0.954757,0.8747997,0.8272679,0.34431982,0.5918212,0.37819487,0.49011979,0.5432212,1.1160449,0.8084993,0.88990617,0.27031356,0.6865034,0.34576944,0.52140075,1.0078125,1.0,54.145813,2.3437505,45.375378,45.56383,0.0,109.00002,8.0078125,1.0,108.03324,80.96067,484.875,543.375,-1.2672449,26.875,0.0,26.1875,7.936031,59.999928,28.045654,1.0,63.54,3.8125,0.0,-80.26123,95.33081,14.741516,3.6572266,63.54,63.42,63.2,63.4,0
322932.06,-0.063638344,1.5765255E-4,0.15182161,0.15192418,101.60043,19.54886,13.863263,-8.147902,17.082022,6.984287,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,470.25,220.125,2914.0,0.0,-7.3515625,0.08428955,106.21735,7985.024,7928.242,1100.0834,521.9161,9.134951,9.198535,0.0,1.0174545,3.0,23.977661,33.773945,29.249962,22.124971,0.848,0.0,-19.164062,0.012084961,0.0,0.0,0.0,0.0,0.0,1.640625,2.109375,2.109375,2.2265625,0.67612725,0.96169984,0.87144274,0.81887543,0.34699017,0.5966278,0.37651637,0.4849317,0.7990387,0.89257646,0.94148165,0.66247046,0.39757383,0.54901963,0.40268558,0.38811323,1.0097656,1.0,54.15039,2.3437505,45.437836,45.475494,0.0,109.00002,8.0078125,1.0,108.03324,80.96067,485.25,543.375,-1.326296,27.21875,0.0,26.25,7.936031,59.999935,28.033447,1.0,63.56,3.625,0.0,-80.10864,95.54443,15.119934,3.6572266,63.47,63.47,63.29,63.36,0
322932.1,-0.07091068,6.306102E-5,0.15293024,0.15175462,101.6011,19.54886,13.870299,-8.1257925,17.05349,6.9726205,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,470.25,220.125,2914.0,0.0,-7.3984375,0.08428955,106.23393,8063.5635,8054.542,1100.0834,521.9161,7.9904323,9.601235,0.0,1.1264637,3.0,23.330688,33.78001,29.249962,22.124971,0.844,0.0,-19.210938,0.012512207,0.0,0.0,0.0,0.0,0.0,1.640625,2.109375,2.109375,2.2460938,0.676585,0.95819026,0.87441826,0.82909894,0.346685,0.5941863,0.37781337,0.49179828,0.686656,1.0354773,0.8281834,1.0572213,0.3416495,0.63698786,0.3541619,0.61944,1.0253906,1.0,54.15039,2.3437505,45.590897,45.35983,0.0,109.00002,8.0078125,1.0,108.01666,80.96067,485.25,543.375,-1.2172868,27.625,0.0,26.25,7.936031,59.99994,28.100586,1.0,63.46,3.75,0.0,-80.09033,95.391846,14.99176,3.6572266,63.49,63.47,63.49,63.23,0
322932.12,-0.09672854,2.522441E-5,0.15305407,0.15200895,101.600876,19.54886,13.863506,-8.127133,17.110588,6.9959664,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,469.875,220.125,2914.0,0.0,-7.4296875,0.08496094,106.29198,8003.597,8091.158,1100.0834,521.9161,9.198535,9.643625,0.0,1.369921,3.0,24.046326,33.78547,29.249962,22.124971,0.876,0.0,-19.351562,0.012145996,0.0,0.0,0.0,0.0,0.0,1.640625,2.109375,2.109375,2.265625,0.68047607,0.96154726,0.8720531,0.8360418,0.34843975,0.5963226,0.37659267,0.49629968,0.767071,0.78431374,0.8281834,0.9912261,0.38170442,0.48241398,0.3541619,0.5807584,1.0273438,1.0,54.159546,2.3437505,45.581432,45.375473,0.0,109.00002,8.0078125,1.0,108.01666,80.96067,484.875,543.375,-0.97382945,27.71875,0.0,26.34375,7.936031,59.999943,28.076172,1.0,63.54,3.65625,0.0,-80.08423,95.53833,15.144348,3.6572266,63.49,63.53,63.35,63.4,0
322932.16,-0.07738283,1.0089764E-5,0.15234725,0.1518394,101.60068,19.54886,13.864611,-8.103083,16.995438,6.9512696,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,469.5,220.125,2915.0,0.0,-7.4921875,0.084350586,106.28368,8040.7446,8015.8027,1100.0834,521.9161,9.262119,9.474067,0.0,1.5646869,3.0,24.14856,33.790382,29.249962,22.124971,0.884,0.0,-19.476562,0.012084961,0.0,0.0,0.0,0.0,0.0,1.640625,2.0898438,2.0898438,2.265625,0.6810864,0.95254445,0.86205846,0.8362707,0.34828717,0.59052414,0.37209126,0.4961471,0.69497216,1.1026932,0.6746014,0.84122986,0.34576944,0.67833984,0.28847182,0.4928664,1.0224609,1.0,54.182434,2.3437505,45.747013,45.62977,0.0,109.00002,8.0078125,1.0,108.01666,80.96067,485.25,543.375,-0.7790636,27.40625,0.0,26.25,7.936031,59.999947,28.167725,1.0,63.48,3.625,0.0,-80.08423,95.54443,15.144348,3.6572266,63.53,63.47,63.32,63.12,0
322932.22,-0.08190627,4.035906E-6,0.15309241,0.15200895,101.600494,19.54886,13.859524,-8.083149,17.039236,6.9667926,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,469.875,220.125,2914.0,0.0,-7.5,0.08496094,106.2671,8020.579,8047.643,1100.0834,521.6507,9.474067,9.495262,0.0,1.5642495,3.0,24.261475,33.794804,28.874964,22.124971,0.864,0.0,-19.546875,0.012145996,0.0,0.0,0.0,0.0,0.0,1.640625,2.109375,2.0898438,2.2460938,0.6823072,0.95902956,0.8644236,0.8284123,0.34851605,0.59494925,0.37315938,0.49126422,0.70885783,1.0102998,0.917525,0.6815442,0.3527123,0.62149996,0.39238575,0.3993286,1.0195312,1.0,54.188538,2.3437505,45.88423,45.685528,0.0,109.00002,8.0078125,1.0,108.01666,80.96067,485.25,543.375,-0.7795009,27.6875,0.0,26.34375,7.936031,59.99995,28.100586,1.0,63.51,3.65625,0.0,-80.08423,95.53833,15.144348,3.6572266,63.53,63.54,63.28,63.2,0
322932.25,-0.06552502,1.6143624E-6,0.15305695,0.15523058,101.600334,19.54886,13.861823,-8.084195,17.015503,6.9570894,19.399,0.0,5.919,19.562,25.319,0.0,93.98497,0.0,0.0,470.25,220.125,2914.0,0.0,-7.53125,0.08496094,106.29198,8051.358,8053.4805,1100.0834,521.6507,9.346898,9.537651,0.0,1.5638998,3.0,24.227905,33.798782,28.874964,22.124971,0.856,0.0,-19.6875,0.015625,0.0,0.0,0.0,0.0,0.0,1.640625,2.109375,2.109375,2.265625,0.6785687,0.9612421,0.8705272,0.8313878,0.3462272,0.5963226,0.3760586,0.49301898,0.60929275,1.028687,1.0065614,0.89677274,0.30319676,0.63279164,0.430457,0.52544445,1.0126953,1.0,54.17328,2.3437505,45.876858,46.3553,0.0,109.00002,8.203125,1.0,107.9835,80.96067,485.25,543.75,-0.7798507,27.6875,0.0,27.4375,7.936031,59.999954,28.03955,1.0,63.59,4.6875,0.0,-80.07202,94.25659,13.789368,3.6572266,63.44,63.57,63.15,63.32,0
