,400,700,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.28
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.03,0.83,1.24,0.33
350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,13.08,38.52,35.02,13.92,3.75,0.74,1.38
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,230.66,454.26,222.97,59.06,53.13,21.33,6.7
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.63,640.94,1183.63,689.29,212.21,101.22,54.72,14.47
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.86,477.01,950.97,643.52,276.71,126.54,51.95,25.95
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,310.49,661.71,611.82,377.51,207.53,82.44,43.21
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15,225.53,574.12,475.76,212.09,191.07,106.37,54.26
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,161.2,566.42,441.63,148.03,130.06,134.84,127.06
1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,184.98,435.59,392.32,275.2,172.8,570.7,1295.16
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,153.17,429.12,476.16,572.67,1655.85,3079.01,1322.79
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,380.32,1699.29,2430.86,3259.33,2235.46,345.22,0.31
