,400,700,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
80,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,
400,,,,,,,,,,1.874999999999993,4.124999999999993,3.749999999999993,2.249999999999993,-7.105427357601002e-15,,
500,,,,,,,,,,4.124999999999993,5.624999999999993,2.249999999999993,0.7499999999999929,-7.105427357601002e-15,-7.105427357601002e-15,
600,,,,,,,,,,-0.3750000000000071,2.249999999999993,0.7499999999999929,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,
700,,,,,,,,,,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,-7.105427357601002e-15,3.374999999999993,4.874999999999993
800,,,,,,,,,,3.749999999999993,2.999999999999993,2.624999999999993,1.874999999999993,2.249999999999993,5.624999999999993,6.374999999999993
900,,,,,,,,,,4.124999999999993,4.874999999999993,4.874999999999993,5.999999999999993,6.374999999999993,6.749999999999993,5.999999999999993
1050,,,,,,,,,,4.499999999999993,5.249999999999993,3.374999999999993,3.374999999999993,4.874999999999993,4.874999999999993,4.874999999999993
1200,,,,,,,,,,4.874999999999993,5.624999999999993,6.374999999999993,5.624999999999993,3.749999999999993,4.124999999999993,4.124999999999993
1400,,,,,,,,,,4.874999999999993,3.749999999999993,4.499999999999993,4.124999999999993,2.999999999999993,2.999999999999993,
