Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_7_12:CB_HSL_SP2933_5G0906259L_0002_BasicsGuide_R09.bin]
28625.04,0.1408959,-0.18405713,0.13195126,0.14124201,101.706436,16.54134,14.003044,-7.72618,0.0,0.0,32.44,0.0,9.28,25.963,32.44,0.0,96.24063,0.0,0.0,474.375,230.25,3089.0,0.0,-7.390625,0.10083008,105.87739,12400.216,12374.744,1100.0834,566.7579,9.728404,9.940352,0.0,2.3437495,3.0,33.355713,28.181087,32.249958,32.249958,0.736,0.0,-28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.9199219,0.8935547,57.748413,2.3437495,48.450718,50.426254,0.0,104.99994,7.6171875,1.0,102.49436,81.04359,488.25,543.375,-9.437786E-8,22.90625,0.0,24.9375,7.936031,61.999977,19.98291,0.0,68.14,0.0,0.0,-67.263794,99.998474,32.73468,0.6689453,68.05,68.05,67.69,67.86,0
28625.08,0.11271673,-0.09237285,0.13115223,0.14153874,101.70645,16.54134,14.003303,-7.815323,0.0,0.0,32.481,0.0,9.28,25.963,32.481,0.0,96.24063,0.0,0.0,473.625,230.25,3094.0,0.0,-8.6875,0.0993042,105.9686,12122.144,12071.199,1100.0834,566.7579,9.452872,9.813184,0.0,2.3437495,3.0,32.51648,28.220121,32.249958,32.249958,0.748,0.0,-28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.9433594,0.8925781,57.69806,2.3437495,47.83628,50.04105,0.0,104.99994,7.6171875,1.0,102.49436,81.04359,487.875,544.875,-7.550229E-8,22.78125,0.0,24.96875,7.936031,61.999977,19.586182,0.0,67.94,0.0,0.0,-67.370605,99.998474,32.62787,0.6689453,67.73,68.0,67.73,67.85,0
28625.107,0.090173386,-0.05569914,0.12959746,0.14111486,101.70647,16.54134,13.997624,-7.842422,0.0,0.0,32.521,0.0,9.28,25.963,32.521,0.0,96.24063,0.0,0.0,473.625,230.625,3107.0,0.0,-8.390625,0.09893799,105.935425,11894.485,11841.949,1100.0834,566.7579,9.791988,10.003937,0.0,2.3437495,3.0,32.118225,28.255253,32.624958,32.624958,0.76,0.0,-28.125,0.0,0.0,0.0,0.0,0.0,0.0,0.95703125,0.89160156,57.748413,2.3437495,47.649506,50.098564,0.0,104.99994,7.6171875,1.0,102.2456,81.04359,487.875,544.5,-6.040184E-8,21.59375,0.0,24.78125,7.936031,61.999977,19.793701,0.0,67.86,0.0,0.0,-66.87622,99.998474,33.122253,0.6640625,68.0,67.97,67.63,67.97,0
28625.152,0.09213871,-0.078529656,0.13643889,0.15845217,101.70648,16.54134,14.005368,-7.6015954,0.0,0.0,32.549,0.0,9.28,25.963,32.549,0.0,96.24063,0.0,0.0,473.25,230.25,3115.0,0.0,-7.765625,0.10101318,106.08468,11477.377,11454.559,1100.0834,566.7579,10.6609745,10.512611,0.0,2.3437495,3.0,31.721497,28.286871,31.87496,32.249958,0.792,0.0,-28.0625,0.005493164,0.0,0.0,0.0,0.0,0.0,0.9638672,0.89160156,57.951355,2.3437495,49.309513,54.009056,0.0,104.99994,8.691406,1.0,102.17927,81.04359,488.25,543.75,-4.832147E-8,23.75,0.0,32.09375,8.869681,61.999977,20.489502,0.0,67.87,1.65625,0.0,-66.63208,98.028564,31.396484,0.6640625,67.94,67.97,67.44,67.64,0
28625.197,0.07371097,-0.10641187,0.15165007,0.16498016,101.7065,16.54134,14.010789,-7.0806594,0.0,0.0,32.597,0.0,9.28,25.963,32.597,0.0,96.24063,0.0,0.0,472.125,229.125,3102.0,0.0,-7.4296875,0.101257324,106.32514,11020.999,11146.238,1100.0834,566.7579,14.200503,11.529961,0.0,2.3437495,3.0,32.946777,28.315327,30.74996,31.12496,0.844,0.0,-28.734375,0.014160156,0.0,0.0,0.0,0.0,0.0,0.96875,0.8964844,58.232117,2.3437495,52.900284,55.741238,0.0,104.99994,9.082031,1.0,101.91394,81.04359,488.25,543.375,-3.8657177E-8,29.40625,0.0,35.40625,9.336507,61.999977,21.203613,0.0,68.01,4.25,0.0,-66.04309,94.92798,28.884888,0.6640625,67.85,67.94,67.75,67.83,0
28625.242,0.05896878,-0.09881475,0.15478377,0.17303418,101.70651,16.54134,14.002865,-6.8620205,0.0,0.0,32.64,0.0,9.28,25.963,32.64,0.0,96.24063,0.0,0.0,470.25,228.75,3103.0,0.0,-6.8515625,0.10247803,106.92215,10760.97,10842.693,1100.0834,566.7579,15.493384,12.63209,0.0,3.1249995,3.0,32.936096,28.416124,30.374962,30.74996,0.972,0.0,-29.195312,0.024963379,0.0,0.0,0.0,0.0,0.0,0.9736328,0.8964844,58.57544,2.3437495,54.407352,58.33107,0.0,104.99994,9.5703125,1.0,101.9471,81.04359,488.625,543.0,0.7812499,31.65625,0.0,38.96875,9.803332,61.999977,21.386719,0.0,68.02,7.5,0.0,-66.17737,91.101074,24.923706,0.6591797,67.88,67.99,67.57,67.61,0
28625.28,0.06717502,-0.077025905,0.16469191,0.17617102,101.70653,16.54134,14.003177,-6.5085506,0.0,0.0,32.683,0.0,9.28,25.963,32.683,0.0,96.24063,0.0,0.0,469.125,227.625,3105.0,0.0,-6.859375,0.10266113,107.112854,10633.608,10535.965,1100.0834,566.7579,14.242892,12.950011,0.0,3.7499995,3.0,31.562805,28.506842,29.249962,29.624962,1.036,0.0,-29.695312,0.030090332,0.0,0.0,0.0,0.0,0.0,0.95410156,0.9003906,58.80432,2.3437495,56.843796,59.30161,0.0,104.99994,9.765625,1.0,101.85589,81.04359,488.625,543.0,1.4062499,35.96875,0.0,40.75,9.803332,61.999977,21.728516,0.0,67.9,9.03125,0.0,-65.91797,89.27612,23.358154,0.6591797,68.01,68.01,67.61,67.69,0
28625.32,0.05374002,-0.04956036,0.16892603,0.18541194,101.70654,16.54134,13.997536,-6.340969,0.0,0.0,32.72,0.0,9.28,25.963,32.72,0.0,96.24063,0.0,0.0,467.625,226.875,3113.0,0.0,-6.8671875,0.104003906,107.535736,10061.014,10226.053,1100.0834,566.7579,17.99437,13.352712,0.0,4.093749,3.0,32.87964,28.588488,28.874964,28.874964,1.108,0.0,-29.984375,0.04156494,0.0,0.0,0.0,0.0,0.0,0.92871094,0.90234375,58.86841,2.3437495,57.99893,61.534557,0.0,104.99994,10.3515625,1.0,101.85589,81.04359,488.625,543.0,1.7499998,39.0625,0.0,44.6875,9.803332,61.999977,21.728516,0.0,67.98,12.46875,0.0,-65.89966,85.27222,19.372559,0.6591797,68.05,68.12,67.52,67.88,0
28625.36,0.06299202,-0.05732415,0.17577146,0.18681079,101.70656,16.54134,14.005306,-6.0769353,0.0,0.0,32.762,0.0,9.28,25.963,32.762,0.0,96.24063,0.0,0.0,466.5,226.5,3114.0,0.0,-6.25,0.103515625,107.70157,9760.653,9916.14,1100.0834,566.7579,19.244862,13.797802,0.0,4.2124996,3.0,32.85675,28.66197,28.124964,28.499964,1.152,0.0,-30.148438,0.04510498,0.0,0.0,0.0,0.0,0.0,0.90625,0.90234375,59.020996,2.3437495,59.818905,62.167625,0.0,104.99994,10.449219,1.0,101.85589,81.04359,488.25,542.25,1.8687499,40.5625,0.0,45.4375,10.270158,61.999977,22.53418,0.0,68.13,13.53125,0.0,-65.93933,83.984375,18.045044,0.64697266,67.94,67.91,67.49,67.65,0
28625.389,0.05039362,-0.02292966,0.18170546,0.186726,101.70656,16.54134,14.010745,-5.886157,18.048023,7.875593,32.801,0.0,9.28,25.963,32.801,0.0,96.24063,0.0,0.0,466.5,225.75,3110.0,0.0,-5.984375,0.10235596,107.86741,9800.984,9683.705,1100.0834,566.7579,16.468344,14.1581135,0.0,4.1512494,3.0,30.982971,28.728104,27.374966,27.749964,1.152,0.0,-30.171875,0.046142578,0.0,0.0,0.0,0.0,0.0,0.89453125,0.9033203,59.085083,2.3437495,61.13392,62.17576,0.0,104.99994,10.449219,1.0,101.67347,81.04359,488.25,541.875,1.8074999,43.84375,0.0,45.59375,10.736983,61.999977,22.851562,0.0,67.96,13.84375,0.0,-65.58838,83.54492,17.956543,0.63964844,68.12,67.97,67.67,67.77,0
