Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_7_12:CB_HSL_SP2933_5G0906259L_0002_BasicsGuide_R09.bin]
27015.99,-2.3190167,0.7475539,0.25999084,0.26256093,101.59878,15.789481,14.095923,-3.8020055,141.07744,53.98038,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,460.875,217.125,2727.0,0.0,-7.609375,0.09851074,109.41796,13537.978,13695.587,1100.0834,513.956,20.558937,18.587822,0.0,3.3386621,2.0,41.529846,29.323828,16.874979,19.124975,1.26,0.0,-30.539062,0.12017822,0.0,0.0,0.0,0.0,0.0,1.0205078,0.9814453,56.469727,3.304183,75.39197,76.03882,0.0,102.92024,16.894531,1.0,113.87064,80.96067,481.5,543.75,0.03447923,75.03125,0.0,74.5625,12.13746,55.999992,41.47339,1.0,37.14,36.0625,0.0,-86.642456,58.374023,0.0,1.2304688,37.82,36.4,37.89,36.25,0
27016.031,-2.4352133,0.7302716,0.26271662,0.2658249,101.598785,15.789481,14.097615,-3.6897697,138.2766,53.02511,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,459.375,216.75,2733.0,0.0,-7.6640625,0.0993042,109.57551,13602.72,13790.047,1100.0834,513.956,23.928907,18.88455,0.0,3.5905113,2.0,43.800354,29.323776,16.499979,18.749975,1.332,0.0,-30.695312,0.12402344,0.0,0.0,0.0,0.0,0.0,1.0205078,0.9814453,56.492615,3.250428,76.1656,76.71676,0.0,102.928215,17.089844,1.0,113.31509,80.96067,481.5,543.75,0.34008336,75.90625,0.0,75.71875,12.604284,55.999992,40.875244,1.0,37.44,37.21875,0.0,-86.66077,57.196045,0.0,1.1865234,38.18,36.6,38.02,36.33,0
27016.072,-2.4881706,0.7046087,0.26508316,0.26531625,101.59879,15.789481,14.0988,-3.6294708,135.38556,52.106438,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,458.625,216.75,2743.0,0.0,-7.859375,0.09942627,109.69159,13863.279,13924.837,1100.0834,514.2213,21.703455,19.117693,0.0,3.7973661,2.0,42.710876,29.323729,16.499979,18.749975,1.404,0.0,-30.75,0.125,0.0,0.0,0.0,0.0,0.0,1.0039062,0.9814453,56.503296,3.2127995,76.581245,76.63437,0.0,102.935394,17.089844,1.0,112.643456,80.96067,481.875,543.75,0.58456665,76.96875,0.0,75.75,12.604284,55.999992,39.82544,1.0,37.47,37.5,0.0,-86.67908,56.884766,0.0,0.87158203,38.3,36.78,38.15,36.35,0
27016.111,-2.5305367,0.6755935,0.26483285,0.2650619,101.5988,15.789481,14.099628,-3.6383898,132.40327,51.21872,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,459.0,216.75,2757.0,0.0,-7.8203125,0.09991455,109.83255,14034.155,13875.484,1100.0834,514.2213,19.838314,18.672602,0.0,3.8103628,2.0,41.859436,29.323687,16.499979,18.749975,1.404,0.0,-30.796875,0.12561035,0.0,0.0,0.0,0.0,0.0,0.9902344,0.9814453,56.510925,3.1864595,76.519775,76.59069,0.0,102.94186,17.089844,1.0,112.14596,80.96067,482.25,543.75,0.62390333,76.90625,0.0,75.65625,12.604284,55.999992,39.294434,1.0,37.56,37.6875,0.0,-86.7157,56.7688,0.0,0.64697266,38.33,36.95,38.15,36.32,0
27016.152,-2.5644293,0.6639874,0.26807952,0.26544338,101.59881,15.789481,14.08263,-3.5513883,132.47769,51.451977,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,459.75,216.375,2768.0,0.0,-7.7734375,0.09991455,109.84084,14108.98,14031.502,1100.0834,514.752,21.004028,18.926939,0.0,3.8233943,2.0,42.80243,29.323648,16.499979,18.374977,1.384,0.0,-30.773438,0.12738037,0.0,0.0,0.0,0.0,0.0,0.9873047,0.9814453,56.526184,3.1680217,77.11948,76.55032,0.0,102.94767,17.089844,1.0,111.61528,80.96067,482.625,543.75,0.6553727,78.0,0.0,75.8125,13.07111,55.999992,39.074707,1.0,37.77,38.21875,0.0,-86.7157,56.158447,0.0,0.5126953,38.54,37.04,38.32,36.69,0
27016.191,-2.5915434,0.678095,0.2687088,0.26243377,101.598816,15.789481,14.088309,-3.542156,135.4038,52.721416,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,459.75,216.375,2775.0,0.0,-7.703125,0.0993042,109.956924,14190.704,14123.309,1100.0834,514.752,20.87686,19.138887,0.0,3.8356633,2.0,42.84668,29.323614,16.499979,18.374977,1.388,0.0,-30.695312,0.12561035,0.0,0.0,0.0,0.0,0.0,0.99316406,0.98339844,56.56433,3.1551151,77.18312,76.0208,0.0,102.9529,16.894531,1.0,111.29191,80.96067,483.0,543.75,0.68054813,78.40625,0.0,74.65625,13.07111,55.999992,38.513184,1.0,37.92,37.6875,0.0,-86.7157,56.64673,0.0,0.44677734,38.69,37.13,38.39,36.73,0
27016.232,-2.5932348,0.683738,0.2660738,0.26014474,101.59882,15.789481,14.086426,-3.6547558,135.3731,52.9184,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,460.125,216.375,2786.0,0.0,-7.6015625,0.09906006,109.99839,14323.372,13878.138,1100.0834,514.752,14.751568,18.609018,0.0,3.846769,2.0,39.179993,29.323584,16.499979,18.374977,1.384,0.0,-30.390625,0.12384033,0.0,0.0,0.0,0.0,0.0,1.0,0.98339844,56.555176,3.1460805,76.40699,75.36115,0.0,102.95761,16.699219,1.0,110.98511,80.96067,483.375,543.75,0.70068854,77.28125,0.0,73.625,12.604284,55.999992,37.43286,1.0,38.09,37.15625,0.0,-86.7157,57.214355,0.0,0.47851562,38.82,37.37,38.49,36.73,0
27016.271,-2.5945878,0.6859952,0.25903326,0.26039907,101.59883,15.789481,14.085107,-3.83316,135.37909,53.034714,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,460.5,216.75,2792.0,0.0,-7.5,0.09899902,109.94864,13857.973,13604.312,1100.0834,515.28265,15.599359,18.439459,0.0,4.012807,2.0,39.089966,29.248367,16.874979,18.749975,1.352,0.0,-30.5,0.12487793,0.0,0.0,0.0,0.0,0.0,1.0048828,0.98339844,56.54602,3.1397562,75.17728,75.57702,0.0,102.96185,16.699219,1.0,110.661736,80.96067,483.375,543.375,0.8730508,74.625,0.0,73.59375,12.604284,55.999992,37.054443,1.0,38.16,37.46875,0.0,-86.41052,56.84204,0.0,0.68359375,38.95,37.45,38.55,36.81,0
27016.312,-2.5956702,0.70564806,0.25573024,0.26061103,101.59883,15.789481,14.078324,-3.880728,138.30724,54.240032,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,460.5,217.125,2795.0,0.0,-7.4609375,0.09881592,109.76622,13579.37,13490.217,1100.0834,515.28265,16.680292,18.354681,0.0,4.14627,2.0,39.338684,29.180674,16.874979,19.124975,1.352,0.0,-30.734375,0.12591553,0.0,0.0,0.0,0.0,0.0,1.0058594,0.98339844,56.56433,3.1353292,74.849396,75.7777,0.0,102.96567,16.699219,1.0,110.272026,80.96067,483.375,543.375,1.0109407,73.3125,0.0,73.625,12.604284,55.999992,36.4563,1.0,38.25,37.78125,0.0,-85.65674,56.445312,0.0,0.703125,38.99,37.46,38.74,37.05,0
27016.352,-2.6165361,0.69475925,0.2584274,0.2609501,101.59883,15.789481,14.073577,-3.793672,135.47624,53.28187,78.921,0.0,4.6,25.601,48.801,0.0,99.99999,0.0,0.0,460.125,216.75,2803.0,0.0,-7.5234375,0.09875488,109.67501,13413.8,13601.658,1100.0834,515.548,18.820965,18.71499,0.0,4.409733,2.0,40.452576,29.11975,16.874979,18.749975,1.356,0.0,-30.921875,0.12768555,0.0,0.0,0.0,0.0,0.0,1.0117188,0.98339844,56.56891,3.1322305,75.44946,75.84109,0.0,102.9691,16.699219,1.0,109.77451,80.96067,483.0,543.75,1.2775025,74.65625,0.0,73.65625,13.07111,55.999992,36.206055,1.0,38.35,38.3125,0.0,-84.68628,55.822754,0.0,0.68847656,39.16,37.61,38.82,37.26,0
