Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_7_12:CB_HSL_SP2933_5G0906259L_0002_BasicsGuide_R09.bin]
27662.596,-0.068215504,0.28436998,0.161223,0.16667575,101.81443,15.789481,14.098844,-7.323582,89.81847,36.244972,13.443,0.0,5.642,13.443,13.443,0.0,99.258965,0.0,0.0,461.25,220.125,2876.0,0.0,-7.453125,0.09185791,106.70656,8339.513,8232.317,1100.0834,600.9862,19.81712,13.458686,0.0,4.4475255,2.0,30.256653,38.797462,23.99997,22.124971,1.304,0.0,-23.640625,0.023498535,0.0,0.0,0.0,0.0,0.0,0.8955078,0.88671875,60.77881,3.9062505,51.333775,52.582996,0.0,100.998825,9.5703125,1.0,106.01006,81.1265,483.75,543.375,0.5412749,33.46875,0.0,34.15625,8.869681,59.99997,26.611328,1.0,39.38,7.0625,0.0,-75.35095,91.61377,16.215515,3.7109375,39.35,39.27,39.16,39.25,0
27662.637,-0.0745724,0.282498,0.16267696,0.18240228,101.81443,15.789481,14.0938,-7.2527285,89.85608,36.260147,13.481,0.0,5.642,13.481,13.481,0.0,99.2568,0.0,0.0,461.25,220.125,2876.0,0.0,-7.0234375,0.09442139,106.68169,8315.102,8309.795,1100.0834,600.9862,19.668756,13.882582,0.0,4.49552,2.0,30.085754,38.82749,23.62497,22.124971,1.308,0.0,-23.859375,0.040283203,0.0,0.0,0.0,0.0,0.0,0.8955078,0.8857422,60.717773,3.9062502,51.822163,56.00482,0.0,100.99895,10.644531,1.0,105.99347,81.1265,484.125,543.0,0.58926994,33.8125,0.0,40.09375,9.803332,59.99997,27.801514,1.0,39.43,12.09375,0.0,-75.14038,85.791016,10.578918,3.7109375,39.39,39.37,39.31,39.29,0
27662.676,-0.11965792,0.2817492,0.17793885,0.19143125,101.81361,15.789481,14.101988,-6.708311,89.77822,36.26652,13.521,0.0,5.642,13.521,13.521,0.0,99.255066,0.0,0.0,461.625,220.125,2879.0,0.0,-7.3984375,0.09613037,106.80606,8165.4526,8759.806,1100.0834,601.2515,29.460745,14.624398,0.0,4.533916,2.0,36.091614,38.854515,22.124971,22.124971,1.288,0.0,-24.523438,0.050598145,0.0,0.0,0.0,0.0,0.0,0.89453125,0.88964844,61.175537,3.9062502,55.573948,58.432194,0.0,100.999054,11.230469,1.0,105.71156,81.1265,484.125,543.375,0.62766594,40.75,0.0,43.3125,10.270158,59.99997,28.094482,1.0,39.49,15.1875,0.0,-74.523926,82.2876,7.661438,3.7109375,39.47,39.53,39.35,39.05,0
27662.717,-0.13572633,0.28144968,0.18674888,0.1876586,101.81286,15.789481,14.096001,-6.337049,89.842316,36.45629,13.561,0.0,5.642,13.561,13.561,0.0,99.25368,0.0,0.0,460.125,220.125,2892.0,0.0,-7.25,0.09588623,107.253815,8641.465,9220.429,1100.0834,601.2515,31.792171,15.408606,0.0,4.564633,2.0,38.090515,38.878838,21.374973,22.124971,1.38,0.0,-25.695312,0.048034668,0.0,0.0,0.0,0.0,0.0,0.89941406,0.89453125,61.343384,3.9062502,58.13227,58.315327,0.0,100.999146,11.230469,1.0,105.71156,81.1265,484.125,543.375,0.6583828,44.21875,0.0,43.21875,10.736983,59.99997,28.405762,1.0,39.48,14.40625,0.0,-74.46289,83.166504,8.607483,3.7109375,39.47,39.5,39.4,39.41,0
27662.758,-0.108581066,0.30007988,0.18477283,0.19143125,101.81301,15.789481,14.0332155,-6.31434,94.203766,38.358265,13.6,0.0,5.642,13.6,13.6,0.0,99.25257,0.0,0.0,459.0,220.125,2902.0,0.0,-7.21875,0.09686279,107.61865,9193.364,9421.022,1100.0834,601.7822,30.499289,15.0271,0.0,4.7454567,2.0,37.931824,38.900726,20.999973,22.124971,1.432,0.0,-26.71875,0.051574707,0.0,0.0,0.0,0.0,0.0,0.89453125,0.8964844,61.419678,3.9062502,58.28895,59.707153,0.0,100.99924,11.5234375,1.0,106.04323,81.1265,484.125,543.375,0.8392062,44.1875,0.0,44.84375,10.270158,59.99997,28.186035,1.0,39.55,15.46875,0.0,-75.36316,82.006836,6.5475464,3.618164,39.58,39.58,39.31,39.42,0
27662.797,-0.08686485,0.30753195,0.1839675,0.20088412,101.81315,15.789481,14.071298,-6.203091,94.19827,38.408894,13.642,0.0,5.642,13.642,13.642,0.0,99.251686,0.0,0.0,459.75,220.125,2906.0,0.0,-7.109375,0.09790039,107.65182,9691.135,9505.399,1100.0834,601.7822,23.441427,15.111878,0.0,4.7338653,2.0,34.09424,38.92043,20.624973,22.124971,1.404,0.0,-27.835938,0.062194824,0.0,0.0,0.0,0.0,0.0,0.88378906,0.89453125,61.35254,3.9062502,59.055916,62.652336,0.0,100.99931,12.109375,1.0,106.04323,81.1265,484.5,543.0,0.82761496,43.46875,0.0,48.09375,10.736983,59.99997,29.199219,1.0,39.61,18.65625,0.0,-75.2655,78.39966,3.0136108,2.2998047,39.63,39.63,39.33,39.4,0
27662.836,-0.069491886,0.3480128,0.19418076,0.20249492,101.81327,15.789481,14.080377,-5.8092527,102.422806,41.834263,13.681,0.0,5.642,13.681,13.681,0.0,99.25098,0.0,0.0,460.875,220.125,2911.0,0.0,-7.125,0.09790039,107.626945,9728.8125,9966.023,1100.0834,601.7822,28.824902,15.51458,0.0,4.568342,2.0,37.750244,38.93816,20.249973,22.124971,1.336,0.0,-28.65625,0.06500244,0.0,0.0,0.0,0.0,0.0,0.87890625,0.8984375,61.44409,3.9062502,61.770725,63.548985,0.0,100.999374,12.3046875,1.0,105.71156,81.1265,484.5,543.0,0.662092,48.09375,0.0,49.15625,11.203809,59.99997,28.796387,1.0,39.67,19.5,0.0,-74.66431,77.423096,2.6382446,1.6943359,39.78,39.71,39.42,39.42,0
27662.877,-0.07559351,0.38295513,0.19778888,0.20580132,101.813385,15.789481,14.092591,-5.557092,106.26084,43.536083,13.721,0.0,5.642,13.721,13.721,0.0,99.250404,0.0,0.0,460.875,220.5,2920.0,0.0,-7.4609375,0.09851074,107.9752,10046.154,9950.634,1100.0834,601.7822,27.553215,15.217853,0.0,4.4359236,2.0,37.364197,38.954117,19.874975,22.499971,1.34,0.0,-29.890625,0.068725586,0.0,0.0,0.0,0.0,0.0,0.89160156,0.9013672,61.61194,3.9062502,63.508953,65.370834,0.0,100.999435,12.597656,1.0,105.71156,81.1265,484.5,543.375,0.5296736,49.1875,0.0,50.8125,10.736983,59.99997,28.997803,1.0,39.8,20.625,0.0,-74.49951,76.19629,1.5640259,1.4208984,39.71,39.81,39.47,39.65,0
27662.916,-0.08047481,0.41568208,0.20199622,0.20927724,101.813484,15.789481,14.089423,-5.358486,109.996155,45.12821,13.761,0.0,5.642,13.761,13.761,0.0,99.24995,0.0,0.0,461.25,220.5,2924.0,0.0,-7.5546875,0.099243164,108.06641,10217.562,10195.804,1100.0834,601.7822,28.167864,15.726527,0.0,4.486239,2.0,38.146973,38.96848,19.499975,22.499971,1.332,0.0,-30.710938,0.07342529,0.0,0.0,0.0,0.0,0.0,0.9033203,0.9042969,61.6745,3.9062502,64.87802,66.3922,0.0,100.9995,12.988281,1.0,105.48768,81.1265,484.875,543.75,0.57998884,51.90625,0.0,52.96875,11.203809,59.99997,29.156494,1.0,39.85,22.03125,0.0,-74.25232,74.6521,0.25482178,1.2890625,39.9,39.91,39.65,39.62,0
27662.96,-0.08437985,0.44752282,0.20985974,0.21186301,101.813576,15.789481,14.087206,-5.136851,113.598656,46.68591,13.799,0.0,5.642,13.799,13.799,0.0,99.24958,0.0,0.0,460.875,219.75,2929.0,0.0,-7.734375,0.09979248,108.30687,10238.788,10607.605,1100.0834,602.31287,32.04651,16.341175,0.0,4.682741,2.0,40.872192,38.981403,19.124975,21.749971,1.356,0.0,-31.109375,0.07727051,0.0,0.0,0.0,0.0,0.0,0.91503906,0.90722656,61.901855,3.9062502,66.40582,66.832214,0.0,100.99954,13.183594,1.0,105.35501,81.1265,484.875,543.75,0.77649105,55.28125,0.0,54.15625,11.670634,59.99997,29.199219,1.0,39.95,23.1875,0.0,-73.742676,73.38867,0.0,1.1523438,39.95,39.9,39.77,39.81,0
