Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_7_12:CB_HSL_SP2933_5G0906259L_0002_BasicsGuide_R09.bin]
26830.996,-2.2577877,-0.5079347,0.11596261,0.12356556,101.59871,17.293226,14.026993,-10.477628,0.0,0.0,69.759,0.0,4.6,25.601,48.801,0.0,97.0934,0.0,0.0,459.75,218.625,1920.0,0.0,-11.5625,0.09240723,105.106255,9757.469,9974.514,1100.0834,499.89316,0.48747995,9.452872,0.0,4.7119217,3.0,23.706055,27.06453,30.74996,20.624973,0.78,0.0,0.5390625,0.0,0.0,0.0,0.0,0.0,0.0,0.9267578,0.9033203,53.886414,4.7119217,29.377562,30.86177,0.0,92.99998,6.9335938,1.0,104.71654,80.96067,469.125,547.5,2.9991724E-11,12.21875,0.0,12.46875,5.135079,53.999985,19.714355,1.0,41.43,0.0,0.0,-72.561646,99.998474,27.436829,3.6816406,42.08,40.94,41.85,40.33,0
26831.04,-2.2462301,-0.39067388,0.119704336,0.12081024,101.598724,17.293226,14.025926,-10.332606,0.0,0.0,69.799,0.0,4.6,25.601,48.801,0.0,97.07321,0.0,0.0,460.125,217.875,1873.0,0.0,-11.296875,0.09008789,105.0565,9535.647,9787.717,1100.0834,499.89316,2.1830623,9.791988,0.0,4.704595,3.0,24.353027,27.064844,30.74996,19.874975,0.78,0.0,-0.5078125,0.0,0.0,0.0,0.0,0.0,0.0,0.9267578,0.9033203,53.92151,4.704595,30.377193,30.439583,0.0,92.99998,6.9335938,1.0,104.73313,80.96067,469.5,547.5,2.399338E-11,14.03125,0.0,12.0625,5.135079,53.999985,19.793701,1.0,41.37,0.0,0.0,-72.60132,99.998474,27.397156,3.6816406,42.03,40.58,41.81,40.56,0
26831.076,-2.236984,-0.25001955,0.11772563,0.12025919,101.59874,17.293226,14.031038,-10.371766,0.0,0.0,69.843,0.0,4.6,25.601,48.801,0.0,97.05707,0.0,0.0,459.375,217.5,1866.0,0.0,-11.3671875,0.089782715,105.0565,9508.053,9600.921,1100.0834,499.89316,0.72062254,9.495262,0.0,4.6994667,3.0,23.330688,27.065126,30.74996,19.499975,0.808,0.0,-0.7734375,0.0,0.0,0.0,0.0,0.0,0.0,0.92871094,0.90234375,53.858948,4.6994667,30.10728,30.635023,0.0,92.99998,6.9335938,1.0,104.7497,80.96067,468.75,547.5,1.9194705E-11,13.09375,0.0,11.84375,4.6682534,53.999985,19.342041,1.0,41.28,0.0,0.0,-72.6593,99.998474,27.339172,3.6816406,41.66,40.48,41.85,40.24,0
26831.115,-2.2295873,-0.17500782,0.115633465,0.11958095,101.598755,17.293226,14.028758,-10.442891,0.0,0.0,69.88,0.0,4.6,25.601,48.801,0.0,97.04414,0.0,0.0,459.375,217.875,1874.0,0.0,-11.375,0.08843994,105.031624,9343.545,9414.124,1100.0834,499.89316,0.21194781,9.495262,0.0,4.6958766,3.0,22.660828,27.065382,30.74996,19.874975,0.808,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9355469,0.90234375,53.858948,4.6958766,29.61704,30.402143,0.0,92.99998,6.9335938,1.0,104.42633,80.96067,468.75,547.5,1.5355764E-11,12.34375,0.0,11.78125,5.135079,53.999985,19.012451,1.0,41.14,0.0,0.0,-72.13745,99.998474,27.861023,3.6816406,41.78,40.43,41.91,40.37,0
26831.156,-2.2236698,-0.20125315,0.118500255,0.1230145,101.59876,17.293226,14.009583,-10.396666,0.0,0.0,69.92,0.0,4.6,25.601,48.801,0.0,97.03381,0.0,0.0,459.375,217.875,1881.0,0.0,-11.3515625,0.08880615,105.0565,9160.463,9227.327,1100.0834,499.89316,1.2504921,9.622431,0.0,4.6933637,3.0,22.979736,27.06561,31.12496,19.874975,0.8,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.9394531,0.9013672,53.886414,4.6933637,29.935677,30.801893,0.0,92.99998,7.1289062,1.0,104.45121,80.96067,468.375,547.5,1.2284611E-11,13.59375,0.0,12.90625,5.135079,53.999985,19.067383,1.0,41.09,0.0,0.0,-71.89331,99.998474,28.105164,3.6816406,41.81,40.4,41.53,40.31,0
26831.195,-2.2389357,-0.24925126,0.11960522,0.123268835,101.59877,17.293226,14.025458,-10.359381,0.0,0.0,69.96,0.0,4.6,25.601,48.801,0.0,97.02554,0.0,0.0,459.375,217.875,1888.0,0.0,-11.3984375,0.08850098,105.0565,8940.233,9040.531,1100.0834,499.89316,1.5896086,9.791988,0.0,4.6916046,3.0,22.706604,27.065817,31.12496,19.874975,0.816,0.0,0.7421875,0.0,0.0,0.0,0.0,0.0,0.0,0.9423828,0.9013672,53.930664,4.6916046,30.19269,30.842745,0.0,92.99998,7.1289062,1.0,104.42633,80.96067,468.75,547.5,9.827689E-12,13.96875,0.0,13.0,5.135079,53.999985,19.122314,1.0,41.19,0.0,0.0,-71.89331,99.998474,28.105164,3.6816406,41.81,40.43,41.63,40.07,0
26831.238,-2.2911484,-0.2872005,0.121176764,0.123353615,101.59878,17.293226,14.030711,-10.319751,0.0,0.0,69.999,0.0,4.6,25.601,48.801,0.0,97.018936,0.0,0.0,459.375,217.875,1877.0,0.0,-11.40625,0.087524414,105.031624,8753.968,8853.734,1100.0834,499.89316,2.2678416,10.1523,0.0,4.4559984,3.0,22.808838,27.066002,31.12496,19.874975,0.816,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.9472656,0.9003906,53.94745,4.4559984,30.465858,30.875666,0.0,92.99998,7.1289062,1.0,104.42633,80.96067,468.75,547.5,7.862151E-12,14.4375,0.0,13.125,5.135079,53.999985,19.16504,1.0,41.15,0.0,0.0,-71.92078,99.998474,28.077698,3.6816406,41.81,40.31,41.51,40.33,0
26831.275,-2.3529186,-0.3023802,0.12200774,0.12216671,101.598785,17.293226,14.01681,-10.290002,0.0,0.0,70.042,0.0,4.6,25.601,48.801,0.0,97.01364,0.0,0.0,459.0,217.5,1868.0,0.0,-11.4296875,0.0871582,105.031624,8613.34,8666.9375,1100.0834,499.89316,1.6531929,10.131105,0.0,4.291074,3.0,22.161865,27.06617,30.74996,19.499975,0.852,0.0,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,0.9472656,0.9003906,53.93982,4.291074,30.670921,30.678738,0.0,92.99998,7.1289062,1.0,104.40975,80.96067,468.75,547.5,6.289721E-12,14.8125,0.0,13.03125,5.135079,53.999985,19.146729,1.0,41.04,0.0,0.0,-71.92078,99.998474,28.077698,3.6816406,41.69,40.31,41.81,40.12,0
26831.316,-2.442335,-0.30845207,0.12257295,0.12161565,101.59879,17.293226,14.018799,-10.273096,0.0,0.0,70.08,0.0,4.6,25.601,48.801,0.0,97.009415,0.0,0.0,459.0,217.5,1865.0,0.0,-11.4375,0.08618164,105.00675,8518.88,8480.141,1100.0834,499.89316,1.0173495,10.046326,0.0,4.4100018,3.0,21.582031,27.06632,30.74996,19.499975,0.852,0.0,-0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.94628906,0.89941406,53.930664,4.4100018,30.787458,30.614685,0.0,92.99998,7.1289062,1.0,104.42633,80.96067,468.75,547.5,5.0317766E-12,15.28125,0.0,12.96875,5.135079,53.999985,19.16504,1.0,40.95,0.0,0.0,-71.92993,99.998474,28.068542,3.6816406,41.63,40.14,41.51,39.95,0
26831.355,-2.5338678,-0.31088084,0.12169633,0.12369272,101.5988,17.293226,14.002612,-10.306502,0.0,0.0,70.12,0.0,4.6,25.601,48.801,0.0,97.00603,0.0,0.0,458.25,217.5,1873.0,0.0,-11.4140625,0.08618164,105.00675,8254.605,8293.345,1100.0834,499.89316,1.5684137,10.19469,0.0,4.571376,3.0,21.479797,27.066456,30.74996,19.499975,0.9,0.0,-0.3359375,0.0,0.0,0.0,0.0,0.0,0.0,0.93652344,0.89941406,53.956604,4.258876,30.557201,30.951714,0.0,92.99998,7.2265625,1.0,104.40975,80.96067,468.375,547.5,0.31249997,14.71875,0.0,13.5,5.135079,53.999985,19.030762,1.0,40.89,0.0,0.0,-71.847534,99.998474,28.15094,3.6816406,41.87,40.28,41.36,39.95,0
