Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_26:Patched_259L_R17.bin]
150398.14,-3.0369697,1.0843626,0.31040955,0.3133436,101.59883,18.796984,13.952184,-2.6974094,172.02129,84.67107,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,460.875,216.75,3508.0,0.0,-3.1640625,0.10900879,114.84077,15288.665,15244.088,1100.0834,523.77344,24.119661,22.69961,0.0,11.48226,2.0,44.90204,29.381973,18.749975,18.749975,1.624,0.0,-31.078125,0.2734375,0.0,0.0,0.0,0.0,0.0,0.9902344,1.0,57.447815,2.3437505,83.00588,83.56564,0.0,106.00006,20.117188,0.0,106.07639,83.98716,495.0,539.25,9.138509,94.59375,0.0,93.53125,18.206188,51.999977,39.84375,0.0,48.0,82.03125,0.0,-68.8385,37.322998,0.0,0.6347656,48.71,47.47,48.59,47.09,0
150398.19,-2.9695756,1.1087451,0.31544498,0.3123687,101.59883,18.796984,13.955981,-2.6101098,171.97026,84.81485,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,462.375,216.75,3515.0,0.0,-3.1015625,0.109069824,114.89881,15281.235,15322.628,1100.0834,523.77344,25.306568,23.123507,0.0,11.529558,2.0,45.617676,29.376106,18.749975,18.749975,1.556,0.0,-30.414062,0.27374268,0.0,0.0,0.0,0.0,0.0,0.9951172,1.0,57.470703,2.3437505,83.60763,83.16288,0.0,106.00006,20.117188,0.0,105.93544,83.90424,495.375,539.25,9.185807,96.875,0.0,93.5,18.673014,51.999977,39.959717,0.0,48.19,82.125,0.0,-68.533325,37.31079,0.0,0.6665039,48.8,47.57,48.78,46.97,0
150398.22,-2.9156606,1.099748,0.30999348,0.31185997,101.59883,18.796984,13.946921,-2.7590554,169.71802,84.15652,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,461.625,216.75,3534.0,0.0,-3.0703125,0.109191895,115.07294,15292.91,15214.901,1100.0834,523.77344,24.119661,22.69961,0.0,11.723646,2.0,44.766235,29.370827,19.124975,18.749975,1.592,0.0,-30.609375,0.27459717,0.0,0.0,0.0,0.0,0.0,1.0185547,1.0,57.452393,2.3437505,82.58096,82.98038,0.0,106.00006,20.117188,0.0,106.21735,83.73012,495.375,539.25,9.379895,96.0625,0.0,93.34375,18.206188,51.999977,39.89868,0.0,48.34,82.375,0.0,-69.522095,37.268066,0.0,0.6347656,49.06,47.82,48.67,47.25,0
150398.27,-2.8725286,1.0773993,0.3103337,0.31296214,101.59883,18.796984,13.958158,-2.721003,167.41116,83.29452,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,461.625,217.125,3546.0,0.0,-3.1328125,0.109802246,114.92369,15250.987,15271.152,1100.0834,523.77344,24.64953,23.123507,0.0,12.035166,2.0,45.05005,29.366074,19.124975,19.124975,1.584,0.0,-30.742188,0.2783203,0.0,0.0,0.0,0.0,0.0,1.0205078,1.0,57.478333,2.3437505,82.843254,83.38187,0.0,106.00006,20.117188,0.0,106.18418,83.73012,495.375,539.25,9.691416,94.0,0.0,93.21875,18.673014,51.999977,40.686035,0.0,48.51,83.5,0.0,-69.67163,37.08496,0.0,0.6347656,49.14,48.03,48.86,47.39,0
150398.3,-2.818023,1.0497098,0.31405675,0.31164804,101.59883,18.796984,13.948444,-2.63259,165.09012,82.25551,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,462.375,217.125,3551.0,0.0,-3.3046875,0.10888672,115.10611,15190.49,15343.324,1100.0834,523.77344,26.06958,23.293064,0.0,12.128134,2.0,45.86792,29.361797,19.124975,19.124975,1.564,0.0,-30.765625,0.2774048,0.0,0.0,0.0,0.0,0.0,1.0068359,1.0,57.49054,2.3437505,83.452675,82.99363,0.0,106.00006,20.117188,0.0,106.101265,83.68037,495.75,539.25,9.784383,95.8125,0.0,93.09375,18.673014,51.999977,40.393066,0.0,48.62,83.21875,0.0,-69.488525,36.956787,0.0,0.68115234,49.18,48.06,49.01,47.54,0
150398.36,-2.7744184,1.076134,0.31168425,0.31520876,101.59883,18.796984,13.953364,-2.705879,169.75682,84.96178,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,461.625,217.125,3567.0,0.0,-3.3359375,0.1104126,115.23878,15437.783,15245.681,1100.0834,523.77344,22.86917,23.123507,0.0,12.358757,2.0,43.99414,29.357948,19.124975,19.124975,1.608,0.0,-30.523438,0.2835083,0.0,0.0,0.0,0.0,0.0,1.0214844,1.0,57.478333,2.3437505,82.9475,83.61433,0.0,106.00006,20.3125,0.0,106.30026,83.771576,496.125,539.25,10.015006,94.84375,0.0,94.25,18.673014,51.999977,40.447998,0.0,48.78,85.0625,0.0,-70.01953,36.779785,0.0,0.6298828,49.32,48.33,49.01,47.68,0
150398.39,-2.6995347,1.1054536,0.31790695,0.3150816,101.59883,18.796984,13.950949,-2.628902,172.04335,86.32342,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,462.0,217.125,3576.0,0.0,-3.9375,0.11047363,115.30511,15297.155,15340.671,1100.0834,523.77344,26.345112,23.844128,0.0,12.543255,2.0,45.993042,29.279297,19.124975,19.124975,1.596,0.0,-30.351562,0.28552246,0.0,0.0,0.0,0.0,0.0,1.0117188,1.0,57.514954,2.3437505,83.478096,83.21142,0.0,106.10006,20.3125,0.0,106.14272,83.82133,496.125,540.0,10.199505,96.6875,0.0,94.1875,19.13984,51.999977,40.85083,0.0,48.9,85.65625,0.0,-69.436646,36.621094,0.0,0.6298828,49.52,48.5,49.1,47.77,0
150398.44,-2.6196277,1.1359315,0.31572622,0.31813362,101.59883,18.796984,13.949258,-2.6857586,174.39056,87.69689,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,460.875,217.125,3584.0,0.0,-3.7109375,0.111083984,115.57044,15494.035,15267.4375,1100.0834,523.77344,22.339298,23.144701,0.0,12.690855,2.0,43.597412,29.20851,19.499975,19.124975,1.648,0.0,-30.273438,0.28936768,0.0,0.0,0.0,0.0,0.0,1.0146484,1.0,57.489014,2.3437505,83.08619,83.63673,0.0,106.190056,20.507812,0.0,106.38319,83.837906,496.125,540.0,10.347104,96.21875,0.0,95.21875,18.673014,51.999977,40.893555,0.0,49.04,86.8125,0.0,-70.13855,36.431885,0.0,0.72753906,49.6,48.65,49.48,48.18,0
150398.47,-2.5357022,1.1668726,0.31907636,0.32233024,101.59883,18.796984,13.948074,-2.5959897,176.61784,89.0152,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,461.625,217.5,3592.0,0.0,-3.6328125,0.11175537,115.528984,15403.82,15437.253,1100.0834,523.77344,25.221788,24.543556,0.0,12.808933,2.0,45.23163,29.144802,19.124975,19.499975,1.624,0.0,-30.273438,0.29779053,0.0,0.0,0.0,0.0,0.0,1.0107422,1.0,57.536316,2.3437505,83.704956,84.3995,0.0,106.27105,20.800781,0.0,106.19248,84.15299,496.875,539.625,10.465183,97.34375,0.0,96.96875,19.13984,51.999977,41.467285,0.0,49.14,89.34375,0.0,-69.0979,35.87036,0.0,0.6567383,49.73,48.78,49.46,48.27,0
150398.52,-2.4285617,1.2167491,0.32622677,0.33309716,101.59883,18.796984,13.941386,-2.4301493,180.98334,91.39316,207.639,0.0,6.001,21.201,52.08,0.0,99.99999,0.0,0.0,461.625,217.125,3599.0,0.0,-3.6875,0.11383057,115.86066,15408.597,15530.12,1100.0834,523.77344,26.832592,24.903868,0.0,12.747147,2.0,46.24176,29.087465,19.124975,19.124975,1.636,0.0,-30.320312,0.31280518,0.0,0.0,0.0,0.0,0.0,0.99902344,1.0,57.559204,2.3437505,84.848076,85.88757,0.0,106.34395,21.386719,0.0,105.985176,85.7533,496.875,539.625,10.403397,99.6875,0.0,100.46875,19.606665,51.999977,41.619873,0.0,49.36,93.84375,0.0,-67.46216,34.7229,0.0,0.6274414,49.79,49.01,49.52,48.36,0
