Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_26:Patched_259L_R17.bin]
150196.83,-2.2620716,0.49011213,0.28446123,0.28333178,101.59766,18.796984,13.938403,-3.2101364,144.46967,37.90631,207.639,0.0,6.001,21.201,52.08,0.0,101.63969,0.0,0.0,451.875,214.5,1870.0,0.0,-9.328125,0.08557129,107.394775,14833.879,14622.141,1100.0834,499.89316,9.770794,20.3046,0.0,2.963406,3.0,37.965393,26.351212,15.37498,16.499979,1.444,0.0,-27.960938,0.053649902,0.0,0.0,0.0,0.0,0.0,0.9951172,1.0,55.023193,2.742188,79.470535,79.152824,0.0,98.686165,20.507812,1.0,113.11609,80.96067,468.375,545.25,0.2212181,84.59375,0.0,82.53125,9.803332,43.99999,36.987305,1.0,39.7,16.09375,0.0,-86.75842,80.33447,0.0,3.6816406,40.76,39.19,40.19,38.76,0
150196.88,-2.2896574,0.45854485,0.28475335,0.28218728,101.59778,18.796984,13.940475,-3.2439253,140.03188,36.624023,207.639,0.0,6.001,21.201,52.08,0.0,101.76288,0.0,0.0,452.25,214.5,1864.0,0.0,-9.2734375,0.085754395,107.2704,14738.357,14649.205,1100.0834,499.89316,12.441337,20.177431,0.0,3.034006,3.0,39.58893,26.347668,15.74998,16.499979,1.424,0.0,-27.5,0.05102539,0.0,0.0,0.0,0.0,0.0,0.9941406,1.0,55.00641,2.8570316,79.237755,78.818,0.0,98.717545,20.507812,1.0,113.09952,80.96067,468.375,545.25,0.17697448,84.5625,0.0,82.09375,9.803332,43.99999,36.90796,1.0,39.9,15.3125,0.0,-86.7157,81.311035,0.0,3.6816406,40.37,39.2,40.51,38.76,0
150196.9,-2.2917259,0.44591796,0.28467894,0.2810004,101.597885,18.796984,13.936067,-3.2915552,140.2079,36.532352,207.639,0.0,6.001,21.201,52.08,0.0,101.86143,0.0,0.0,452.25,214.5,1857.0,0.0,-9.21875,0.08605957,107.22894,14646.0205,14462.408,1100.0834,499.89316,11.148455,19.880705,0.0,3.0790017,3.0,38.645935,26.26929,15.74998,16.499979,1.424,0.0,-27.21875,0.04864502,0.0,0.0,0.0,0.0,0.0,0.99316406,1.0,54.96216,2.937422,78.90955,78.30504,0.0,98.74579,20.507812,1.0,113.09952,80.96067,468.375,545.25,0.14157958,84.28125,0.0,81.6875,9.803332,43.99999,36.712646,1.0,40.03,14.59375,0.0,-86.7157,82.20825,0.0,3.6816406,40.62,39.31,40.04,39.05,0
150196.94,-2.3133807,0.4033672,0.28425342,0.29159775,101.597984,18.796984,13.944699,-3.3694243,130.6341,33.817863,207.639,0.0,6.001,21.201,52.08,0.0,101.94027,0.0,0.0,452.25,214.5,1845.0,0.0,-9.171875,0.087402344,107.26211,14587.116,14614.181,1100.0834,499.89316,12.695674,20.050262,0.0,3.106959,3.0,39.804077,26.198751,16.124979,16.499979,1.4,0.0,-26.9375,0.053833008,0.0,0.0,0.0,0.0,0.0,0.99316406,1.0,54.96216,2.9936955,78.37291,80.193436,0.0,98.77121,21.191406,1.0,113.2073,80.96067,468.0,545.25,0.11326367,84.28125,0.0,85.6875,9.336507,43.99999,36.78589,1.0,39.94,16.15625,0.0,-86.75842,80.41992,0.0,3.6816406,41.6,39.55,40.35,38.62,0
150196.98,-2.3907046,0.3113469,0.28868502,0.29121628,101.598076,18.796984,13.950743,-3.2362194,109.01702,28.34412,207.639,0.0,6.001,21.201,52.08,0.0,102.00334,0.0,0.0,452.25,214.5,1853.0,0.0,-9.0859375,0.08770752,107.21236,14575.441,14867.842,1100.0834,499.89316,15.154268,20.537743,0.0,3.1236978,3.0,41.32538,26.135267,15.74998,16.499979,1.4,0.0,-26.867188,0.05444336,0.0,0.0,0.0,0.0,0.0,0.9921875,1.0,55.018616,3.0330868,79.29117,80.2181,0.0,98.79409,21.191406,1.0,113.033165,80.96067,468.0,545.25,0.09061094,85.9375,0.0,85.65625,10.270158,43.99999,37.304688,1.0,40.29,16.34375,0.0,-86.7157,80.22461,0.0,3.6816406,40.13,39.38,40.94,38.87,0
150197.03,-2.4125636,0.31203875,0.29537,0.29176733,101.59815,18.796984,13.943254,-3.08972,120.52053,31.36882,207.639,0.0,6.001,21.201,52.08,0.0,102.0538,0.0,0.0,451.875,214.125,1855.0,0.0,-9.0703125,0.08874512,107.278694,14540.947,15080.642,1100.0834,499.89316,22.106155,21.004028,0.0,2.8987744,3.0,45.594788,26.07813,15.37498,16.124979,1.416,0.0,-26.84375,0.0546875,0.0,0.0,0.0,0.0,0.0,0.99121094,1.0,55.039978,2.8262856,80.30105,80.14311,0.0,98.81468,21.191406,1.0,112.88392,80.96067,468.0,545.25,0.07248875,88.15625,0.0,85.59375,10.270158,43.99999,37.036133,1.0,40.26,16.40625,0.0,-86.7157,80.22461,0.0,3.6816406,41.3,39.47,40.67,39.17,0
150197.08,-2.4300508,0.3310655,0.29635856,0.29159772,101.59822,18.796984,13.949731,-3.0476918,125.75611,32.766815,207.639,0.0,6.001,21.201,52.08,0.0,102.09417,0.0,0.0,451.125,214.125,1857.0,0.0,-9.0078125,0.08886719,107.45282,14800.977,15071.62,1100.0834,499.89316,19.77473,20.919249,0.0,2.7395158,3.0,44.096375,26.026709,15.37498,16.124979,1.48,0.0,-26.835938,0.053833008,0.0,0.0,0.0,0.0,0.0,0.9941406,1.0,55.056763,2.6815248,80.59081,80.25639,0.0,98.83321,21.191406,1.0,112.975136,80.96067,468.0,545.25,0.057990998,88.5,0.0,85.78125,10.270158,43.99999,37.17041,1.0,40.08,16.15625,0.0,-86.75842,80.548096,0.0,3.6816406,40.79,39.53,40.74,39.14,0
150197.12,-2.4040406,0.4136762,0.29679376,0.29282707,101.59828,18.796984,13.948405,-3.0327473,144.6318,37.76621,207.639,0.0,6.001,21.201,52.08,0.0,102.126465,0.0,0.0,451.125,213.75,1861.0,0.0,-8.9375,0.0892334,107.510864,15117.258,15050.393,1100.0834,499.89316,15.260242,20.79208,0.0,2.626585,3.0,41.667175,25.980429,15.37498,15.74998,1.48,0.0,-26.882812,0.0546875,0.0,0.0,0.0,0.0,0.0,0.99609375,1.0,55.04608,2.5801923,80.693886,80.515594,0.0,98.84989,21.191406,1.0,112.93366,80.96067,468.0,544.875,0.0463928,88.34375,0.0,85.875,10.270158,43.99999,37.08496,1.0,40.28,16.40625,0.0,-86.7157,80.267334,0.0,3.6816406,40.88,39.61,40.83,38.99,0
150197.16,-2.4032323,0.44672048,0.29593945,0.28922397,101.59834,18.796984,13.947477,-3.0433729,144.6651,37.7952,207.639,0.0,6.001,21.201,52.08,0.0,102.1523,0.0,0.0,451.5,213.75,1862.0,0.0,-8.953125,0.08929443,107.55232,15134.77,15063.129,1100.0834,499.89316,15.323827,20.834469,0.0,2.5463738,3.0,41.723633,25.938776,15.37498,15.74998,1.46,0.0,-26.859375,0.051757812,0.0,0.0,0.0,0.0,0.0,0.99609375,1.0,55.062866,2.5092597,80.620705,79.96114,0.0,98.8649,20.996094,1.0,113.01659,80.96067,468.0,544.875,0.03711424,88.03125,0.0,84.625,10.270158,43.99999,37.127686,1.0,40.25,15.53125,0.0,-86.75842,81.329346,0.0,3.6816406,40.94,39.54,40.62,39.08,0
150197.19,-2.4025857,0.4786882,0.2881281,0.28494263,101.5984,18.796984,13.946828,-3.2062204,148.83394,38.863472,207.639,0.0,6.001,21.201,52.08,0.0,102.172966,0.0,0.0,451.5,214.125,1861.0,0.0,-8.8984375,0.08892822,107.535736,15213.84,14928.869,1100.0834,499.89316,12.738063,20.368185,0.0,2.7236733,3.0,40.29236,25.901289,15.74998,16.124979,1.46,0.0,-26.898438,0.048339844,0.0,0.0,0.0,0.0,0.0,0.99609375,1.0,55.018616,2.693982,79.49827,79.637985,0.0,98.87841,20.800781,1.0,113.15755,80.96067,468.0,544.875,0.029691393,85.65625,0.0,83.34375,9.803332,43.99999,36.871338,1.0,40.29,14.5,0.0,-86.93237,82.53784,0.0,3.6816406,40.83,39.62,40.41,38.7,0
