Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_10:CB_HSL_SP2933_5G0906259L_0002_BasicsGuide_R14 (1).bin]
2250825.2,1.9185131,1.8911592,0.43089792,0.4355951,101.922165,16.541367,13.932569,-0.40278926,171.45908,54.394413,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,448.875,210.0,2261.0,0.0,-7.9765625,0.12109375,113.71309,17243.13,17022.9,1100.0834,501.48517,33.82687,33.99643,0.0,3.7077146,1.0,52.57721,30.676908,12.374984,11.999985,2.112,0.0,-25.164062,0.21594238,0.0,0.0,0.0,0.0,0.0,0.9472656,0.9394531,56.132507,0.7812499,99.14578,99.704926,0.0,106.00006,28.90625,1.0,116.9303,98.99523,477.375,544.125,2.9264648,148.75,0.0,148.78125,17.739363,42.99997,52.337646,1.0,18.54,64.78125,0.0,-41.149902,47.784424,2.583313,3.671875,18.25,19.75,16.54,19.01,0
2250825.5,2.0148103,1.9564638,0.43329844,0.44182637,101.922165,16.541367,13.936392,-0.34851044,174.0939,57.184483,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,448.125,210.0,2341.0,0.0,-7.984375,0.12359619,114.08622,17329.629,16980.979,1100.0834,501.48517,31.580223,33.530144,0.0,3.7474217,1.0,51.679993,30.616735,12.749984,11.999985,2.152,0.0,-25.015625,0.23443604,0.0,0.0,0.0,0.0,0.0,0.94433594,0.9394531,56.167603,0.7812499,99.51992,100.55139,0.0,106.00006,28.90625,1.0,117.917015,99.95708,478.125,544.125,2.966172,149.375,0.0,150.40625,17.739363,42.99997,54.107666,1.0,19.94,70.34375,0.0,-35.580444,46.844482,7.041931,3.671875,20.8,19.93,16.87,19.17,0
2250825.5,2.1918483,1.8700857,0.43560556,0.44966844,101.922165,16.541367,13.909771,-0.21885961,165.8416,56.59138,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,448.125,210.0,2432.0,0.0,-8.015625,0.12841797,114.674934,17219.25,17012.818,1100.0834,502.54654,33.02147,33.65731,0.0,3.7791877,1.0,52.76947,30.56258,13.499983,11.999985,2.152,0.0,-24.921875,0.2557373,0.0,0.0,0.0,0.0,0.0,0.9404297,0.9394531,56.233215,0.7812499,100.41359,102.25353,0.0,106.00006,28.90625,1.0,118.8291,101.78126,478.125,544.125,2.9979377,149.21875,0.0,152.75,18.673014,42.99997,56.488037,1.0,19.28,76.71875,0.0,-21.731567,46.26465,19.993591,3.3251953,19.04,20.46,17.18,19.61,0
2250825.5,2.2934785,1.7605343,0.45306933,0.45488235,101.922165,16.541367,13.938011,-0.00651049,160.0711,56.32922,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,448.5,209.625,2508.0,0.0,-8.078125,0.13342285,115.63678,17297.258,17178.389,1100.0834,502.54654,34.441517,34.653465,0.0,3.8046002,1.0,53.91693,30.51384,13.499983,11.624985,2.128,0.0,-24.851562,0.2715454,0.0,0.0,0.0,0.0,0.0,0.9482422,0.9394531,56.373596,0.7812499,101.87729,102.14011,0.0,106.00006,28.90625,1.0,119.46756,101.96368,479.625,544.125,3.0233502,154.96875,0.0,154.09375,19.13984,42.99997,58.483887,1.0,19.97,81.46875,0.0,-21.676636,46.203613,19.828796,1.9262695,20.06,20.81,17.33,20.08,0
2250825.5,2.3147829,1.8104638,0.45178622,0.45751056,101.922165,16.541367,13.940202,-0.13704902,167.16086,60.04375,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,448.5,209.625,2560.0,0.0,-8.203125,0.13458252,116.37475,17248.438,17212.352,1100.0834,504.13855,36.22188,35.098557,0.0,3.9811802,1.0,55.15442,30.469975,13.874982,11.624985,2.152,0.0,-24.78125,0.28277588,0.0,0.0,0.0,0.0,0.0,0.96484375,0.9394531,56.428528,0.7812499,100.9775,101.797615,0.0,106.00006,28.90625,1.0,119.35978,102.01343,481.125,544.125,3.1999302,153.9375,0.0,154.59375,19.13984,42.99997,58.337402,1.0,20.98,84.84375,0.0,-23.01941,45.568848,17.704773,1.6503906,21.65,21.18,17.67,20.42,0
2250825.5,2.2318263,2.0366855,0.45041078,0.45500955,101.922165,16.541367,13.941735,-0.20408316,181.80234,66.88448,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,447.375,210.0,2622.0,0.0,-8.8203125,0.13476562,116.805916,17414.006,17178.389,1100.0834,504.13855,33.042664,35.16214,0.0,4.278694,1.0,53.46222,30.430494,13.874982,11.999985,2.236,0.0,-24.742188,0.29205322,0.0,0.0,0.0,0.0,0.0,0.9736328,0.9394531,56.54602,0.7812499,100.51544,101.14939,0.0,106.00006,28.710938,1.0,118.588646,101.797844,482.25,544.875,3.4974442,153.46875,0.0,153.0625,19.606665,42.99997,57.318115,1.0,21.33,87.625,0.0,-25.93689,44.854736,13.957214,1.4013672,21.31,21.53,18.24,20.03,0
2250825.5,2.0854611,2.2396743,0.45071027,0.4553063,101.922165,16.541367,13.942808,-0.23439424,189.3439,70.45602,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,447.75,210.375,2652.0,0.0,-9.0,0.13433838,117.054665,17436.826,17270.725,1100.0834,504.13855,32.32204,35.670815,0.0,4.516705,1.0,53.201294,30.394962,13.874982,12.374984,2.232,0.0,-24.757812,0.2991333,0.0,0.0,0.0,0.0,0.0,0.9638672,0.9394531,56.58264,0.7812499,100.30651,100.92696,0.0,106.00006,28.710938,1.0,118.2321,101.59055,483.375,544.875,3.7354553,152.5,0.0,152.96875,19.606665,42.99997,57.36084,1.0,21.53,89.75,0.0,-28.625488,44.16504,10.499573,1.2719727,21.74,21.63,18.71,20.89,0
2250825.5,2.008369,2.3771198,0.45093083,0.45556056,101.922165,16.541367,13.9377,-0.2253203,193.05542,72.46011,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,447.75,210.375,2675.0,0.0,-9.5625,0.13378906,117.21221,17422.498,17279.217,1100.0834,504.93454,32.21607,35.60723,0.0,4.707114,1.0,53.28064,30.362984,13.874982,12.374984,2.248,0.0,-25.085938,0.30474854,0.0,0.0,0.0,0.0,0.0,0.95214844,0.9394531,56.59485,0.7812499,100.36906,100.929054,0.0,106.00006,28.710938,1.0,117.585335,101.4413,484.125,545.625,3.9258642,152.3125,0.0,152.875,20.07349,42.99997,56.488037,1.0,21.68,91.4375,0.0,-30.39856,43.536377,8.1588745,1.0717773,20.9,21.94,19.24,21.03,0
2250825.8,1.9666951,2.563348,0.45114923,0.45183033,101.922165,16.541367,13.939983,-0.19277227,201.41292,75.71,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,448.125,210.375,2679.0,0.0,-10.1328125,0.1328125,117.29513,17462.828,17236.762,1100.0834,504.93454,31.601418,35.24692,0.0,4.7031913,1.0,52.986145,30.334204,13.874982,12.374984,2.252,0.0,-26.148438,0.30297852,0.0,0.0,0.0,0.0,0.0,0.94433594,0.9394531,56.640625,0.7812499,100.59341,100.54817,0.0,106.00006,28.515625,1.0,117.154175,101.225716,484.5,546.375,3.9219415,152.40625,0.0,151.375,20.07349,42.99997,55.944824,1.0,21.42,90.90625,0.0,-32.122803,43.444824,6.3064575,0.9472656,20.67,22.7,19.95,21.95,0
2250825.8,1.833356,2.8253393,0.4491415,0.4488631,101.92134,16.541367,13.95916,-0.22670275,212.713,80.13672,106.561,0.0,3.882,24.081,55.36,0.0,96.99245,0.0,0.0,448.125,210.375,2685.0,0.0,-10.015625,0.1305542,117.18734,17479.28,17202.799,1100.0834,504.93454,29.96942,34.97139,0.0,4.700053,1.0,52.08893,30.308302,13.874982,12.374984,2.252,0.0,-26.960938,0.3026123,0.0,0.0,0.0,0.0,0.0,0.9394531,0.9394531,56.626892,0.7812499,100.3587,100.31302,0.0,106.00006,28.320312,1.0,116.65666,100.98525,484.5,546.0,3.9188032,151.46875,0.0,150.03125,20.07349,42.99997,54.93164,1.0,21.9,90.78125,0.0,-34.46045,42.90161,3.4072876,0.56640625,21.3,23.02,20.59,22.55,0
