Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),knks_thd[0] (V),knks_thd[1] (V),knks_thd[2] (V),knks_thd[3] (V),nl_c42b2[0] (V),nl_c42b2[1] (V),nl_c42b2[2] (V),nl_c42b2[3] (V),nl_c42c2[0] (V),nl_c42c2[1] (V),nl_c42c2[2] (V),nl_c42c2[3] (V),nl_c4274[0] (V),nl_c4274[1] (V),nl_c4274[2] (V),nl_c4274[3] (V),nl_c429c[0] (V),nl_c429c[1] (V),nl_c429c[2] (V),nl_c429c[3] (V),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_30:Patched_259L_R19.bin]
490325.6,-2.1072562,0.31317723,0.25121233,0.25166678,101.922165,16.541367,14.044706,-4.6063113,120.541954,31.222178,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.375,216.0,1846.0,0.0,-9.6171875,0.08929443,106.82265,13300.767,13328.893,1100.0834,499.89316,12.038635,17.231358,0.0,4.8579254,3.0,37.364197,30.887924,18.749975,17.999977,1.304,0.0,-24.390625,0.016113281,0.0,0.0,0.0,0.0,0.0,1.4648438,1.3671875,1.5234375,1.6015625,0.6074617,0.56801707,0.5861753,0.58899826,0.1747921,0.24689098,0.1904326,0.24444953,0.5240711,0.46456093,0.6990158,0.6301213,0.16189823,0.20325017,0.22484168,0.27565423,0.9970703,1.0,54.70276,1.5625052,70.171364,70.29552,0.0,108.00004,18.554688,1.0,109.95694,81.21771,468.0,545.625,3.2954204,73.03125,0.0,70.8125,8.402857,60.999992,30.725098,1.0,40.12,4.84375,0.0,-83.85315,94.18945,9.916687,3.647461,40.83,39.47,40.51,39.08,0
490325.62,-2.125805,0.3127709,0.25099373,0.24942018,101.922165,16.541367,14.050044,-4.6150045,120.593544,31.25246,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.375,216.0,1847.0,0.0,-9.625,0.08935547,106.83094,13372.938,13393.104,1100.0834,499.89316,11.3815975,17.485695,0.0,4.98009,3.0,37.045288,30.88184,18.749975,17.999977,1.304,0.0,-24.375,0.015075684,0.0,0.0,0.0,0.0,0.0,1.4453125,1.3476562,1.5429688,1.6015625,0.6031891,0.5627527,0.5900664,0.58899826,0.17410544,0.24467842,0.19226368,0.24444953,0.5240711,0.46456093,0.67597467,0.5148394,0.16189823,0.20325017,0.2260624,0.22522317,0.9980469,1.0,54.725647,1.5625037,70.11144,69.763596,0.0,108.00004,18.359375,1.0,109.915474,81.21771,468.0,545.625,3.4175863,72.90625,0.0,69.9375,8.402857,60.999992,30.670166,1.0,40.14,4.53125,0.0,-83.7677,94.56177,10.404968,3.647461,40.84,39.5,40.69,39.21,0
490325.66,-2.1406438,0.31260836,0.2501876,0.24958974,101.922165,16.541367,14.047921,-4.6253524,120.64942,31.317726,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.375,216.0,1850.0,0.0,-9.6171875,0.08935547,106.839226,13358.079,13309.788,1100.0834,499.89316,10.555001,17.33733,0.0,5.0778217,3.0,36.48987,30.876362,18.749975,17.999977,1.3,0.0,-24.375,0.015380859,0.0,0.0,0.0,0.0,0.0,1.4453125,1.3476562,1.5429688,1.6015625,0.59822994,0.5627527,0.5900664,0.5852598,0.1731899,0.24467842,0.19226368,0.24345769,0.5049973,0.569543,0.583505,0.5148394,0.1560235,0.24910353,0.19516289,0.22522317,0.99902344,1.0,54.714966,1.5625026,70.040115,69.99186,0.0,108.00004,18.359375,1.0,109.89889,81.21771,468.0,545.625,3.515319,72.53125,0.0,69.9375,8.402857,60.999992,30.627441,1.0,40.24,4.625,0.0,-83.810425,94.451904,10.25238,3.647461,40.94,39.59,40.77,39.38,0
490325.72,-2.1525152,0.31254333,0.24893664,0.2546341,101.922165,16.541367,14.040576,-4.663707,120.58633,31.301348,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.375,216.0,1850.0,0.0,-9.5703125,0.090026855,106.85581,13368.692,13253.537,1100.0834,499.89316,8.774639,17.273746,0.0,5.1560073,3.0,35.342407,30.871433,18.749975,17.999977,1.3,0.0,-24.421875,0.018615723,0.0,0.0,0.0,0.0,0.0,1.4453125,1.3476562,1.5429688,1.6015625,0.59822994,0.5630579,0.5897612,0.58564126,0.1731899,0.2449073,0.19241627,0.24429694,0.439765,0.569543,0.583505,0.59464407,0.1358053,0.24910353,0.19516289,0.26016632,1.0039062,1.0,54.708862,1.5625018,69.77574,70.96321,0.0,108.00004,18.75,1.0,109.865715,81.21771,468.0,545.625,3.5935054,72.0,0.0,71.8125,8.402857,60.999992,30.523682,1.0,40.27,5.59375,0.0,-83.70361,93.30444,9.120178,3.647461,40.97,39.67,40.69,39.24,0
490325.75,-2.182012,0.31251734,0.25249645,0.25844914,101.922165,16.541367,14.041294,-4.566358,120.644585,31.350325,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.375,216.0,1852.0,0.0,-9.5,0.09063721,106.85581,13245.046,13505.075,1100.0834,499.89316,13.03479,17.718836,0.0,5.3748055,3.0,37.875366,30.866997,18.749975,17.999977,1.284,0.0,-24.445312,0.02166748,0.0,0.0,0.0,0.0,0.0,1.4257812,1.3476562,1.5429688,1.6015625,0.59021896,0.5620661,0.5897612,0.58564126,0.17128251,0.24452582,0.19241627,0.24429694,0.439765,0.5429923,0.7301442,0.61066604,0.1358053,0.23750667,0.23483634,0.24376288,1.0019531,1.0,54.759216,1.5625012,70.446754,71.62877,0.0,108.00004,19.042969,1.0,109.84084,81.21771,468.0,545.625,3.8123043,73.3125,0.0,73.3125,8.869681,60.999992,30.847168,1.0,40.34,6.5,0.0,-83.63037,92.230225,8.052063,3.647461,41.06,39.65,40.9,39.4,0
490325.78,-2.2056096,0.31250694,0.2573862,0.25866112,101.92134,16.541367,14.041797,-4.4380045,120.66861,31.441225,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.0,215.625,1857.0,0.0,-9.546875,0.09069824,106.88898,13240.801,13691.342,1100.0834,499.89316,17.612864,18.079147,0.0,5.5498443,3.0,40.509033,30.863003,18.374977,17.624977,1.32,0.0,-24.46875,0.022583008,0.0,0.0,0.0,0.0,0.0,1.4257812,1.3476562,1.5429688,1.6015625,0.5874723,0.5620661,0.59578854,0.5867094,0.17097734,0.24452582,0.19455253,0.24422064,0.5363546,0.58571756,0.7301442,0.61066604,0.16571298,0.25619897,0.23483634,0.24376288,1.0048828,1.0,54.769897,1.5625008,71.33066,71.54657,0.0,108.00004,19.042969,1.0,109.7828,81.20942,468.0,545.625,3.9873435,74.9375,0.0,73.46875,8.869681,60.999992,30.93872,1.0,40.46,6.78125,0.0,-83.57849,91.900635,7.762146,3.647461,41.13,39.71,40.82,39.53,0
490325.8,-2.2244875,0.2937528,0.25937727,0.25912738,101.92059,16.541367,14.071445,-4.3771935,115.10978,30.105883,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.0,215.625,1864.0,0.0,-9.515625,0.09075928,106.94702,13428.128,13799.068,1100.0834,499.89316,19.054108,18.269901,0.0,5.689875,3.0,41.60919,30.85941,18.374977,17.624977,1.32,0.0,-24.484375,0.023620605,0.0,0.0,0.0,0.0,0.0,1.4257812,1.3476562,1.5820312,1.6015625,0.5874723,0.5630579,0.59945065,0.5867094,0.17097734,0.24513619,0.19623102,0.24422064,0.5363546,0.58571756,0.6810864,0.5149157,0.16571298,0.25619897,0.2278172,0.22529946,1.0019531,1.0,54.803467,1.5625006,71.74908,71.687225,0.0,108.00004,19.042969,1.0,109.81597,81.20942,468.0,545.625,4.1273746,75.53125,0.0,73.5,8.869681,60.999992,31.054688,1.0,40.52,7.09375,0.0,-83.532715,91.52832,7.4050903,3.647461,41.15,39.86,40.94,39.58,0
490325.88,-2.21959,0.28625113,0.26019093,0.2623914,101.92075,16.541367,14.068762,-4.347771,115.05071,30.187292,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,452.625,215.625,1870.0,0.0,-9.46875,0.091552734,107.13773,13695.057,13816.58,1100.0834,499.89316,16.531929,18.31229,0.0,5.8019,3.0,40.281677,30.856174,18.374977,17.624977,1.36,0.0,-24.515625,0.026123047,0.0,0.0,0.0,0.0,0.0,1.4257812,1.3476562,1.5820312,1.6015625,0.58930343,0.5574121,0.59945065,0.5830472,0.17219806,0.24269475,0.19623102,0.24322881,0.63073164,0.45143816,0.6154727,0.5149157,0.19485772,0.19745174,0.20584421,0.22529946,0.99902344,1.0,54.814148,1.5625004,71.95204,72.356155,0.0,108.00004,19.238281,1.0,109.7828,81.21771,468.0,545.625,4.2393994,75.71875,0.0,74.78125,8.869681,60.999992,30.981445,1.0,40.61,7.84375,0.0,-83.517456,90.667725,6.4987183,3.647461,41.21,39.92,41.1,39.54,0
490325.9,-2.215672,0.30200046,0.26147884,0.2651043,101.9209,16.541367,14.049305,-4.277745,120.585724,31.690342,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.0,215.625,1873.0,0.0,-9.4921875,0.091308594,107.20406,13847.359,13941.818,1100.0834,499.89316,15.51458,18.39707,0.0,5.7352695,3.0,39.849854,30.853264,17.999977,17.624977,1.352,0.0,-24.679688,0.028442383,0.0,0.0,0.0,0.0,0.0,1.4257812,1.3476562,1.5820312,1.6015625,0.58930343,0.5574121,0.60013735,0.58442056,0.17219806,0.24269475,0.19668879,0.24452582,0.5004196,0.5563439,0.6154727,0.61486226,0.15457389,0.2433814,0.20584421,0.26901656,0.99121094,1.0,54.837036,1.5625002,72.43487,73.128426,0.0,108.00004,19.433594,1.0,109.79939,81.21771,468.375,545.625,4.1727695,76.09375,0.0,75.78125,9.336507,60.999992,31.414795,1.0,40.6,8.53125,0.0,-83.514404,89.82544,5.5862427,3.647461,41.33,39.95,41.03,39.59,0
490325.94,-2.2125375,0.3270502,0.2665079,0.2675629,101.92103,16.541367,14.053264,-4.1217113,125.81458,33.117462,14.361,0.0,3.999,15.322,20.761,0.0,100.75187,0.0,0.0,453.0,215.25,1876.0,0.0,-9.46875,0.09197998,107.26211,13990.11,14183.274,1100.0834,499.89316,17.210161,18.693796,0.0,5.6819654,3.0,41.166687,30.850643,17.249977,17.249977,1.352,0.0,-24.84375,0.030395508,0.0,0.0,0.0,0.0,0.0,1.4257812,1.3476562,1.5820312,1.6015625,0.58480203,0.5573358,0.6021973,0.58442056,0.17128251,0.24277104,0.19775693,0.24452582,0.5004196,0.5563439,0.6487373,0.5198749,0.15457389,0.2433814,0.21698329,0.22743572,0.98535156,1.0,54.847717,1.5625001,73.51052,73.673294,0.0,108.00004,19.628906,1.0,109.74134,81.21771,468.375,545.625,4.1194654,78.0,0.0,76.84375,9.803332,60.999992,31.49414,1.0,40.68,9.125,0.0,-83.47168,89.16626,4.9209595,3.647461,41.34,40.05,41.06,39.56,0
