Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),knks_thd[0] (V),knks_thd[1] (V),knks_thd[2] (V),knks_thd[3] (V),nl_c42b2[0] (V),nl_c42b2[1] (V),nl_c42b2[2] (V),nl_c42b2[3] (V),nl_c42c2[0] (V),nl_c42c2[1] (V),nl_c42c2[2] (V),nl_c42c2[3] (V),nl_c4274[0] (V),nl_c4274[1] (V),nl_c4274[2] (V),nl_c4274[3] (V),nl_c429c[0] (V),nl_c429c[1] (V),nl_c429c[2] (V),nl_c429c[3] (V),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_30:Patched_259L_R19.bin]
490154.72,-3.6049004,0.2817905,0.25854796,0.25476122,101.82194,16.541367,14.065413,-3.9810483,88.514366,25.29869,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,450.75,216.0,2037.0,0.0,-8.625,0.09637451,107.80107,13834.623,13620.231,1100.0834,500.1585,16.44715,21.088806,0.0,1.9393815,2.0,38.952637,29.241034,17.249977,17.999977,1.564,0.0,-27.9375,0.034179688,0.0,0.0,0.0,0.0,0.0,1.3671875,1.6796875,1.796875,1.6601562,0.5597009,0.7187762,0.6722362,0.5834287,0.17273213,0.3070878,0.24483101,0.2742046,0.5413138,0.7870603,0.74654764,0.6567483,0.18104829,0.36552987,0.27862975,0.30502784,0.9033203,0.8964844,55.27649,1.5625001,74.381004,73.68335,0.0,101.999985,18.164062,1.0,107.80108,81.134796,470.25,544.5,0.37688136,75.9375,0.0,73.125,9.803332,50.999992,29.27246,1.0,27.79,10.25,0.0,-79.49829,88.04932,7.6919556,3.6523438,29.03,26.67,28.69,26.09,0
490154.75,-3.6239204,0.2814662,0.2502033,0.2541678,101.822014,16.541367,14.070398,-4.208254,88.5262,25.339336,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,450.75,216.375,2040.0,0.0,-8.671875,0.09637451,107.80107,13733.795,13420.698,1100.0834,500.1585,13.988555,20.855663,0.0,2.020255,2.0,37.34131,29.24926,17.624977,18.374977,1.564,0.0,-28.359375,0.034179688,0.0,0.0,0.0,0.0,0.0,1.3671875,1.6796875,1.796875,1.6601562,0.5597009,0.72167546,0.6699474,0.5851835,0.17273213,0.31006333,0.24429694,0.27504387,0.58434427,0.7870603,0.6264591,0.62493324,0.19539177,0.36552987,0.2338445,0.2902266,0.9033203,0.8935547,55.236816,1.5625001,72.81498,73.63925,0.0,101.999985,18.164062,1.0,108.04983,81.134796,470.25,544.875,0.4577551,72.40625,0.0,73.09375,9.803332,50.999992,29.937744,1.0,27.86,10.25,0.0,-79.99878,88.04932,7.1792603,3.6523438,29.13,26.76,28.76,26.16,0
490154.78,-3.6391363,0.2813365,0.25224355,0.25433737,101.82125,16.541367,14.068028,-4.1698303,88.525955,25.351686,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,451.125,216.375,2041.0,0.0,-8.6484375,0.09588623,107.5689,13594.759,13465.275,1100.0834,500.1585,15.4298,21.110003,0.0,2.0849543,2.0,38.07831,29.256664,17.624977,18.374977,1.532,0.0,-27.851562,0.035095215,0.0,0.0,0.0,0.0,0.0,1.3671875,1.6992188,1.796875,1.6601562,0.5607691,0.727245,0.6699474,0.5851835,0.17387655,0.31441215,0.24429694,0.27504387,0.58434427,0.8506905,0.62623024,0.633402,0.19539177,0.39505607,0.23376821,0.29419395,0.89941406,0.8935547,55.25818,1.5625001,73.07906,73.47591,0.0,101.999985,18.164062,1.0,108.01666,81.1265,470.25,544.875,0.5224541,73.3125,0.0,73.15625,10.270158,50.999992,30.175781,1.0,27.94,10.53125,0.0,-79.86145,87.701416,6.9503784,3.6523438,29.21,26.75,28.82,26.17,0
490154.84,-3.651309,0.2812846,0.25511134,0.25442213,101.820564,16.541367,14.060511,-4.1454234,88.53635,25.466467,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,451.5,216.0,2050.0,0.0,-8.40625,0.095825195,107.54403,13402.656,13549.652,1100.0834,500.1585,18.820965,21.237171,0.0,1.9804634,2.0,40.020752,29.263329,17.249977,17.999977,1.544,0.0,-27.476562,0.03643799,0.0,0.0,0.0,0.0,0.0,1.3671875,1.6992188,1.7773438,1.6601562,0.5618372,0.727245,0.6677348,0.58724344,0.17502098,0.31441215,0.24376288,0.2760357,0.58594644,0.78423744,0.62623024,0.633402,0.19600214,0.36423284,0.23376821,0.29419395,0.8984375,0.89453125,55.264282,1.5625001,73.24661,73.0795,0.0,101.999985,18.164062,1.0,108.2903,81.1265,470.625,544.5,0.41796327,74.5625,0.0,73.25,10.270158,50.999992,30.548096,1.0,28.05,10.9375,0.0,-80.459595,87.231445,5.857849,3.6523438,29.33,26.88,28.64,26.3,0
490154.88,-3.6610472,0.26251385,0.25474852,0.26061103,101.81995,16.541367,14.066967,-4.1583934,83.84964,24.247805,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,451.5,216.0,2061.0,0.0,-8.296875,0.09729004,107.6684,13444.048,13511.443,1100.0834,500.1585,18.566628,21.131197,0.0,1.8968707,2.0,39.89563,29.269325,17.249977,17.999977,1.544,0.0,-27.40625,0.041992188,0.0,0.0,0.0,0.0,0.0,1.3671875,1.6992188,1.7578125,1.6601562,0.5618372,0.72968644,0.6648356,0.5863279,0.17502098,0.31692988,0.24299993,0.27542534,0.5572595,0.78423744,0.6112001,0.5694667,0.18638895,0.36423284,0.22812238,0.26443884,0.89746094,0.8955078,55.27649,1.5625001,73.15659,74.37134,0.0,101.999985,18.554688,1.0,108.40637,81.1265,470.625,544.5,0.3343706,74.125,0.0,75.3125,10.270158,50.999992,30.718994,1.0,28.19,12.59375,0.0,-80.6427,85.37598,3.6849976,3.6523438,29.32,26.99,28.77,26.36,0
490154.9,-3.6688378,0.25500554,0.26085,0.262349,101.82022,16.541367,14.065627,-3.9693866,83.82301,24.334196,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,451.125,216.375,2069.0,0.0,-8.1953125,0.09729004,107.73474,13473.235,13818.172,1100.0834,500.42383,22.190935,21.788235,0.0,1.9862466,2.0,42.155457,29.274723,17.249977,18.374977,1.556,0.0,-27.375,0.044555664,0.0,0.0,0.0,0.0,0.0,1.3671875,1.6992188,1.7578125,1.6601562,0.5616083,0.7338064,0.6662089,0.5863279,0.17563134,0.3215076,0.24383917,0.27542534,0.5572595,0.8251316,0.6968032,0.58022434,0.18638895,0.40650034,0.26009002,0.26947433,0.8955078,0.8955078,55.314636,1.5625001,74.45967,74.712395,0.0,101.999985,18.75,1.0,108.44783,81.134796,470.625,544.125,0.42374647,76.625,0.0,76.5625,10.736983,50.999992,31.506348,1.0,28.21,13.375,0.0,-80.737305,84.48486,2.607727,3.6523438,29.4,27.12,28.98,26.36,0
490154.94,-3.6750703,0.27075222,0.2645816,0.26323918,101.82047,16.541367,14.070548,-3.8465273,88.50603,25.755787,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,450.75,216.0,2074.0,0.0,-8.1796875,0.097351074,107.80107,13494.462,13987.987,1100.0834,500.42383,24.755505,21.830624,0.0,1.9014974,2.0,43.733215,29.279581,17.249977,17.999977,1.568,0.0,-27.492188,0.045837402,0.0,0.0,0.0,0.0,0.0,1.3867188,1.6992188,1.7578125,1.6601562,0.5664912,0.7338064,0.6662089,0.58602273,0.17814907,0.3215076,0.24383917,0.27512017,0.6753643,0.8036927,0.6430915,0.58022434,0.22583352,0.39589533,0.24002442,0.26947433,0.8964844,0.8984375,55.343628,1.5625001,75.30678,75.01792,0.0,101.999985,18.75,1.0,108.61367,81.134796,470.625,544.125,0.3389972,78.46875,0.0,76.65625,10.736983,50.999992,31.707764,1.0,28.3,13.75,0.0,-81.18286,84.03931,1.6921997,3.6523438,29.42,27.16,29.21,26.46,0
490155.0,-3.6800563,0.2958009,0.2636971,0.2634511,101.81986,16.541367,14.056415,-3.763578,92.911514,27.089956,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,450.75,216.0,2078.0,0.0,-8.1640625,0.09716797,107.95862,13792.7,13862.749,1100.0834,500.68918,22.25452,21.512703,0.0,1.8336979,2.0,42.47284,29.283953,16.874979,17.999977,1.588,0.0,-28.039062,0.046142578,0.0,0.0,0.0,0.0,0.0,1.3867188,1.71875,1.7578125,1.6601562,0.5664912,0.7367819,0.66506445,0.58731973,0.17814907,0.32532236,0.24361028,0.27573052,0.4602884,0.8999008,0.6430915,0.6167697,0.15388724,0.44335088,0.24002442,0.28641185,0.8935547,0.8984375,55.366516,1.5625001,75.87793,75.85612,0.0,101.999985,18.75,1.0,108.80438,81.1265,471.0,544.125,0.27119777,78.125,0.0,76.875,10.736983,50.999992,31.958008,1.0,28.36,13.84375,0.0,-81.61011,83.92334,1.1489868,3.6523438,29.49,27.26,29.33,26.47,0
490155.03,-3.724045,0.30582035,0.2635847,0.2587459,101.81931,16.541367,14.064099,-3.7667701,92.93135,27.213097,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,450.75,216.0,2087.0,0.0,-8.109375,0.09655762,108.016655,14007.622,13770.942,1100.0834,500.68918,17.718836,21.512703,0.0,1.7794583,2.0,39.918518,29.287888,16.874979,17.999977,1.588,0.0,-28.304688,0.043518066,0.0,0.0,0.0,0.0,0.0,1.3671875,1.6992188,1.7773438,1.6601562,0.56107426,0.743801,0.67177844,0.58731973,0.17692836,0.33134967,0.24681468,0.27573052,0.4602884,0.8999008,0.8214694,0.84145874,0.15388724,0.44335088,0.30663005,0.39078355,0.8925781,0.8984375,55.355835,1.5625001,75.85538,74.879196,0.0,101.999985,18.359375,1.0,109.0946,81.1265,471.0,544.125,0.21695821,78.34375,0.0,75.0,10.736983,50.999992,32.177734,1.0,28.48,13.0625,0.0,-82.214355,84.79614,1.4785767,3.6523438,29.74,27.39,29.42,26.63,0
490155.06,-3.779236,0.29107815,0.25612202,0.25569382,101.818825,16.541367,14.075338,-3.9321532,88.542336,26.002401,14.361,0.0,3.999,15.322,20.761,0.0,99.248116,0.0,0.0,451.5,216.375,2093.0,0.0,-8.1484375,0.09655762,108.00837,13953.493,13681.789,1100.0834,500.68918,15.790112,20.664911,0.0,1.7360667,2.0,38.74817,29.29143,17.249977,18.374977,1.544,0.0,-28.453125,0.0413208,0.0,0.0,0.0,0.0,0.0,1.3671875,1.6992188,1.7773438,1.6796875,0.5606928,0.7395285,0.67177844,0.59822994,0.17769131,0.33104447,0.24681468,0.28160524,0.5542077,0.6589609,0.68833447,0.84145874,0.19241627,0.32463568,0.26550698,0.39078355,0.8984375,0.89746094,55.31006,1.5625001,74.71492,74.619804,0.0,101.999985,18.164062,1.0,109.41797,81.1265,471.0,544.125,0.17356656,75.25,0.0,74.25,9.803332,50.999992,31.811523,1.0,28.57,12.40625,0.0,-82.940674,85.565186,1.5701294,3.6523438,29.88,27.4,29.36,26.78,0
