tune,unique_files,wot_in_boost_samples,median_lambda,knock_pct_of_wot,deepest_retard_deg,samples_deeper_than_3deg
EQT - Stage 2 91 v2.52 - LC TC,112,272647,0.789795918367347,5.305761662516,-7.88,241
Stage0 v302,3,13558,0.9197278911564626,12.53872252544623,-5.25,524
