Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),knks_thd[0] (V),knks_thd[1] (V),knks_thd[2] (V),knks_thd[3] (V),nl_c42b2[0] (V),nl_c42b2[1] (V),nl_c42b2[2] (V),nl_c42b2[3] (V),nl_c42c2[0] (V),nl_c42c2[1] (V),nl_c42c2[2] (V),nl_c42c2[3] (V),nl_c4274[0] (V),nl_c4274[1] (V),nl_c4274[2] (V),nl_c4274[3] (V),nl_c429c[0] (V),nl_c429c[1] (V),nl_c429c[2] (V),nl_c429c[3] (V),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_9_1:Patched_259L_R22.bin]
651130.4,1.6022596,2.0345469,0.42366505,0.42860088,100.73698,14.285718,14.137889,0.49730536,226.85715,100.935036,16.481,0.0,4.593,16.874,22.481,0.0,96.99245,0.0,0.0,453.0,211.5,3171.0,0.0,-6.0390625,0.13690186,116.523994,16818.592,16676.373,1100.0834,520.85474,24.628336,34.5263,0.0,7.3507285,2.0,48.649597,30.849909,15.37498,14.624981,2.036,0.0,-29.953125,0.3548584,0.0,0.0,0.0,0.0,0.0,1.6796875,1.8359375,1.8554688,2.0507812,0.63576716,0.71702147,0.7049668,0.73990995,0.30815595,0.40955216,0.3072404,0.4008545,0.652018,0.9967193,0.91332877,0.72968644,0.38200963,0.7584497,0.5084306,0.4914168,0.9707031,0.921875,57.8537,0.0,104.16485,105.06399,0.0,111.00006,27.050781,1.0,109.16921,105.85251,491.625,542.25,7.3507285,139.125,0.0,137.0,30.343649,75.99993,50.29297,0.0,26.29,106.46875,0.0,-3.326416,34.802246,30.885315,1.2060547,25.49,27.39,24.63,26.86,0
651130.44,1.4618077,2.1263187,0.431748,0.43860477,100.7361,14.285718,14.126991,0.57009625,231.89026,103.10934,16.481,0.0,4.593,16.874,22.481,0.0,96.99245,0.0,0.0,450.375,213.375,3169.0,0.0,-1.4296875,0.14001465,117.93359,16920.482,16682.74,1100.0834,520.85474,22.763195,35.225727,0.0,7.755583,2.0,47.660828,30.772436,15.37498,15.37498,2.204,0.0,-29.070312,0.36468506,0.0,0.0,0.0,0.0,0.0,1.6601562,1.875,1.8359375,2.0117188,0.6289006,0.7519646,0.70763713,0.7468528,0.30975816,0.42725262,0.3121996,0.40772107,0.5809873,0.67025256,0.72640574,0.79537654,0.34042877,0.51003283,0.40436408,0.53566796,0.9609375,0.921875,58.006287,0.0,104.66571,105.89435,0.0,111.00006,27.441406,1.0,109.16921,106.167595,492.375,537.375,7.755583,140.875,0.0,141.375,32.21095,75.99993,51.086426,0.0,26.68,109.40625,0.0,-1.6601562,34.246826,31.941223,1.4819336,25.7,27.76,25.13,27.14,0
651130.5,1.3694463,2.1817775,0.43734917,0.43851998,100.735306,14.285718,14.131082,0.6188607,233.56621,103.95286,16.481,0.0,4.593,16.874,22.481,0.0,96.99245,0.0,0.0,448.5,213.0,3172.0,0.0,-1.390625,0.14001465,118.24039,16329.3125,16689.11,1100.0834,520.85474,30.096588,35.098557,0.0,7.9232163,2.0,51.589966,30.702711,14.999981,14.999981,2.304,0.0,-28.171875,0.3651123,0.0,0.0,0.0,0.0,0.0,1.7382812,1.8554688,1.875,1.9726562,0.6585031,0.74174106,0.7236591,0.74067295,0.3197528,0.43144885,0.3199817,0.4119173,0.86564434,0.6630808,0.83558404,0.6974899,0.5072099,0.50461584,0.46517128,0.49088272,0.9345703,0.9394531,58.021545,0.0,105.001045,105.172005,0.0,111.00006,27.441406,1.0,109.343346,106.00176,492.375,537.375,7.9232163,143.15625,0.0,141.25,33.1446,75.99993,52.30713,0.0,26.96,109.53125,0.0,-2.0843506,34.191895,31.4682,1.5966797,26.1,27.89,25.43,27.44,0
651130.5,1.3155571,2.166461,0.43596572,0.44903257,100.7346,14.285718,14.110507,0.64433926,230.41115,102.613304,16.481,0.0,4.593,16.874,22.481,0.0,96.99245,0.0,0.0,448.5,213.375,3174.0,0.0,-3.2734375,0.14337158,118.630104,16051.771,16695.477,1100.0834,520.85474,35.11975,35.034973,0.0,7.901073,2.0,54.292297,30.639957,14.999981,15.37498,2.312,0.0,-28.15625,0.37365723,0.0,0.0,0.0,0.0,0.0,1.6992188,1.8359375,1.8359375,2.03125,0.644007,0.73189896,0.71168077,0.7604334,0.31967652,0.4351873,0.3215076,0.4231327,0.5426871,0.6813916,0.731136,0.898909,0.31792173,0.5185016,0.4070344,0.63263905,0.9238281,0.9394531,58.01544,0.0,105.17596,107.598656,0.0,111.00006,28.125,1.0,109.40138,107.96691,492.75,539.25,7.901073,142.59375,0.0,145.6875,33.1446,75.99993,52.142334,0.0,27.12,112.09375,0.0,-1.348877,33.81958,31.794739,1.6113281,26.6,28.15,25.93,27.71,0
651130.56,1.3324457,2.0665846,0.44253626,0.4696339,100.733955,14.285718,14.113683,0.75728554,222.21161,97.71449,16.481,0.0,4.593,16.874,22.481,0.0,96.99245,0.0,0.0,448.125,180.0,3134.0,0.0,-3.5625,0.16534424,120.14749,16314.454,16701.844,1100.0834,520.85474,34.48391,35.564842,0.0,7.8833585,2.0,54.28009,30.583479,14.999981,-26.249966,2.336,0.0,-27.515625,0.37402344,0.0,0.0,0.0,0.0,0.0,1.6992188,1.8164062,1.8554688,2.0117188,0.64843214,0.7255665,0.71412224,0.7536431,0.32364386,0.43938354,0.32585642,0.42687115,0.67933166,0.7045853,0.64972913,0.7058824,0.3980316,0.5361257,0.3617151,0.49683374,0.9267578,0.9394531,58.0307,0.0,105.95384,111.14197,0.0,111.00006,29.394531,1.0,109.44284,111.946945,492.75,539.625,7.8833585,23.46875,0.0,154.3125,35.478725,75.99993,52.29492,0.0,27.5,112.21875,0.0,0.19836426,38.17749,37.516785,1.6015625,26.97,28.54,26.36,27.94,0
651130.56,1.3459566,2.007884,0.46565646,0.4940927,100.73338,14.285718,14.110046,1.0509051,221.03647,88.63789,16.481,0.0,4.593,16.874,22.481,0.0,96.99245,0.0,0.0,448.875,180.0,2858.0,0.0,-2.671875,0.18969727,122.12922,16850.963,16707.15,1100.0834,520.85474,28.697733,35.69201,0.0,7.712937,2.0,51.24817,30.53265,13.874982,-23.99997,2.352,0.0,-26.71875,0.3291626,0.0,0.0,0.0,0.0,0.0,1.6992188,1.8164062,1.8945312,2.1289062,0.64354926,0.72297245,0.70603496,0.7595178,0.32532236,0.4442664,0.3276875,0.433814,0.60914016,0.8873884,0.6485847,0.80086976,0.35690853,0.6752117,0.3227283,0.56366825,0.92285156,1.0,57.6828,0.0,107.97716,113.25852,0.0,111.00006,29.589844,1.0,110.68661,115.42948,492.0,538.875,7.712937,34.65625,0.0,157.375,37.346027,75.99993,52.911377,1.0,27.89,98.75,0.0,2.1636963,49.438477,50.5661,1.7675781,26.97,28.62,26.78,28.46,0
651130.6,1.3767653,2.0406537,0.49151662,0.50706387,100.732864,14.285718,14.095782,1.3605883,226.64209,82.99928,16.481,0.0,4.593,16.874,22.481,0.0,97.14282,0.0,0.0,448.875,184.5,2610.0,0.0,-2.265625,0.17858887,120.65329,16931.096,16711.396,1100.0834,514.752,27.934721,37.55715,0.0,7.5765996,2.0,50.135803,30.486902,12.749984,-11.624985,2.316,0.0,-26.554688,0.30249023,0.0,0.0,0.0,0.0,0.0,1.6992188,1.7773438,1.8359375,2.1679688,0.63057905,0.7434958,0.6988632,0.76386666,0.32486457,0.45601586,0.32745862,0.43892577,0.5399405,0.6735332,0.6485847,0.79438466,0.31631953,0.4933242,0.3227283,0.5349813,0.91796875,1.0,57.591248,0.0,110.11125,112.78862,0.0,111.00006,29.589844,1.0,112.43617,115.19732,487.5,538.5,7.5765996,95.75,0.0,158.375,37.812855,75.99993,54.41284,1.0,28.49,90.75,0.091552734,1.4434814,50.701904,51.487732,2.0629883,27.83,29.06,26.95,28.72,0
651130.7,1.4014121,2.0912616,0.5422298,0.48544526,100.7324,14.285718,14.079938,1.4530834,230.32967,81.150246,16.481,0.0,4.593,16.874,22.481,0.0,97.26312,0.0,0.0,447.375,191.625,2511.0,0.0,-3.4296875,0.14733887,118.04139,16754.912,16715.643,1100.0834,514.752,32.873104,40.312473,0.0,7.31128,2.0,52.531433,30.44573,11.999985,-4.874994,2.456,0.0,-25.953125,0.29663086,0.0,0.0,0.0,0.0,0.0,1.6992188,1.6992188,1.796875,2.1484375,0.63057905,0.7347219,0.6971084,0.74303806,0.32486457,0.45792323,0.33020523,0.43884948,0.552987,0.6556039,0.68513006,0.5971618,0.31746396,0.4306859,0.38139924,0.43732357,0.9121094,1.0,57.458496,0.0,110.748344,103.437065,0.0,111.00006,29.589844,1.0,113.35655,103.62203,484.875,539.625,7.31128,125.8125,0.0,158.875,36.879204,75.99993,57.214355,1.0,28.65,89.0,0.0,-3.451538,47.662354,39.170837,2.2436523,28.11,29.49,27.5,29.12,0
651130.7,1.4811296,2.1490047,0.5096688,0.47594997,100.73198,14.285718,14.098144,0.9303415,233.84431,80.25581,16.481,0.0,4.593,16.874,22.481,0.0,97.359375,0.0,0.0,447.375,189.75,2446.0,0.0,-5.1328125,0.13061523,117.9253,16505.496,16719.887,1100.0834,514.752,31.982924,36.052322,0.0,6.630274,2.0,51.88446,30.408676,12.374984,-5.624993,2.456,0.0,-25.789062,0.29229736,0.0,0.0,0.0,0.0,0.0,1.640625,1.640625,1.796875,2.03125,0.6208896,0.72480357,0.69298846,0.7021439,0.3244831,0.45654994,0.33188373,0.43152514,0.71084154,0.6556039,0.66392004,0.41588464,0.42717633,0.4306859,0.36301214,0.29533836,0.90722656,1.0,57.177734,0.0,107.14472,102.66242,0.0,111.00006,29.589844,1.0,113.97014,103.45619,484.875,541.125,6.630274,136.625,0.0,155.90625,24.741743,75.99993,55.151367,1.0,29.03,87.6875,0.0,-25.912476,43.78662,12.797546,1.9873047,28.51,29.8,27.8,29.49,0
651130.75,1.5449038,2.190852,0.4828803,0.47522935,100.7316,14.285718,14.116747,0.44698134,235.71588,79.376755,16.481,0.0,4.593,16.874,22.481,0.0,97.43637,0.0,0.0,447.0,198.75,2400.0,0.0,-9.2734375,0.12145996,116.69812,16313.393,16724.133,1100.0834,509.17993,34.97139,34.992584,0.0,5.9292192,2.0,53.40576,30.300138,13.124983,1.1249986,2.568,0.0,-25.539062,0.29089355,0.0,0.0,0.0,0.0,0.0,1.6796875,1.6796875,1.8164062,2.03125,0.632105,0.71992064,0.6755169,0.7021439,0.32967117,0.45624477,0.32959488,0.43152514,0.71084154,0.68589306,0.55352104,0.6375982,0.42717633,0.45052263,0.28755626,0.41886014,0.94628906,1.0,57.06787,0.0,103.81259,102.765015,0.0,111.00006,29.589844,1.0,115.16415,103.38157,485.25,545.25,5.9292192,151.0625,0.0,156.03125,21.473967,75.99993,55.474854,1.0,29.46,87.28125,0.0,-32.495117,41.589355,4.017639,1.796875,29.0,30.1,28.28,29.75,0
