Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),knks_thd[0] (V),knks_thd[1] (V),knks_thd[2] (V),knks_thd[3] (V),nl_c42b2[0] (V),nl_c42b2[1] (V),nl_c42b2[2] (V),nl_c42b2[3] (V),nl_c42c2[0] (V),nl_c42c2[1] (V),nl_c42c2[2] (V),nl_c42c2[3] (V),nl_c4274[0] (V),nl_c4274[1] (V),nl_c4274[2] (V),nl_c4274[3] (V),nl_c429c[0] (V),nl_c429c[1] (V),nl_c429c[2] (V),nl_c429c[3] (V),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_9_1:Patched_259L_R22.bin]
650452.75,1.3148832,1.435605,0.34284377,0.36344805,100.83512,14.285718,14.045226,-1.6332198,189.49687,49.34842,3.879,0.0,3.879,3.879,3.879,0.0,96.99245,0.0,0.0,450.375,212.25,1856.0,0.0,-9.0703125,0.093322754,108.05812,15691.445,15728.592,1100.0834,499.89316,16.89224,25.158205,0.0,2.9750707,2.0,43.222046,31.789648,17.249977,14.249982,1.68,0.0,-29.164062,0.10876465,0.0,0.0,0.0,0.0,0.0,1.3476562,1.4648438,1.7382812,1.796875,0.491722,0.55313957,0.60479134,0.6055543,0.21301594,0.31448844,0.240177,0.30777448,0.43457696,0.55924314,0.50789654,0.5927367,0.15083542,0.27550164,0.176318,0.27527276,0.9501953,0.98535156,55.45807,0.0,89.577515,92.14632,0.0,110.014755,25.488281,1.0,114.210594,91.61557,469.5,545.25,2.9750707,109.96875,0.0,110.8125,12.604284,67.99996,42.51709,1.0,25.31,32.625,0.0,-72.698975,61.44409,0.0,3.6621094,24.86,26.15,24.35,25.9,0
650452.75,1.1319066,1.3804921,0.35928234,0.37485087,100.83521,14.285718,14.03869,-1.3915713,185.48557,48.459957,3.921,0.0,3.921,3.921,3.921,0.0,96.99245,0.0,0.0,449.625,211.875,1862.0,0.0,-8.8984375,0.09503174,108.12445,15708.957,16017.809,1100.0834,499.89316,22.890364,27.341267,0.0,2.8488066,2.0,46.696472,31.76858,16.874979,13.874982,1.696,0.0,-29.140625,0.11798096,0.0,0.0,0.0,0.0,0.0,1.328125,1.4453125,1.7382812,1.796875,0.48455024,0.5464256,0.60479134,0.6039521,0.20988785,0.31097886,0.240177,0.306096,0.43457696,0.4993515,0.686656,0.5927367,0.15083542,0.24605173,0.23842221,0.27527276,0.95703125,1.0,55.62744,0.0,91.24326,92.86942,0.0,110.013275,26.171875,1.0,114.086235,92.16283,469.125,544.875,2.8488066,116.34375,0.0,115.09375,13.537935,67.99996,43.566895,1.0,25.53,35.40625,0.0,-69.49463,58.496094,0.0,3.6669922,24.89,26.39,24.69,26.06,0
650452.8,0.9655253,1.3396969,0.37062976,0.38400704,100.83529,14.285718,14.051692,-1.2082294,183.44456,48.364296,3.959,0.0,3.959,3.959,3.959,0.0,96.99245,0.0,0.0,449.25,211.5,1879.0,0.0,-8.765625,0.09729004,108.46442,15833.135,16099.001,1100.0834,499.89316,23.780544,27.023346,0.0,2.7477953,2.0,47.343445,31.749617,16.124979,13.499983,1.776,0.0,-29.125,0.12530518,0.0,0.0,0.0,0.0,0.0,1.328125,1.4453125,1.7578125,1.7773438,0.48455024,0.5464256,0.61501485,0.5985351,0.20988785,0.31097886,0.24010071,0.30380714,0.44098574,0.54032195,0.686656,0.5606928,0.15312429,0.26619363,0.23842221,0.2603952,0.96484375,1.0,55.625916,0.0,92.507095,93.75877,0.0,110.01195,26.5625,1.0,114.102806,93.12467,469.5,544.875,2.7477953,119.71875,0.0,118.0,13.537935,67.99996,43.83545,1.0,25.76,37.59375,0.0,-67.23938,56.359863,0.0,3.6621094,25.26,26.48,25.02,26.33,0
650452.8,0.8724203,1.2671288,0.38332063,0.39837703,100.83536,14.285718,14.037356,-1.0656594,176.96437,47.400726,4.0,0.0,4.0,4.0,4.0,0.0,96.99245,0.0,0.0,449.25,210.75,1909.0,0.0,-8.609375,0.10040283,108.92875,16050.18,16284.736,1100.0834,499.89316,24.16205,27.892332,0.0,2.6669862,2.0,47.38922,31.73255,15.74998,12.749984,1.776,0.0,-28.453125,0.13903809,0.0,0.0,0.0,0.0,0.0,1.2109375,1.328125,1.6015625,1.7773438,0.48233768,0.5461204,0.61493856,0.5985351,0.20698863,0.30869,0.23910888,0.30380714,0.44098574,0.54032195,0.61379415,0.51117724,0.15312429,0.26619363,0.22117952,0.25185016,0.96972656,1.0,55.667114,0.0,93.48988,95.138855,0.0,110.01075,27.246094,1.0,114.22719,94.5011,469.5,544.5,2.6669862,123.375,0.0,123.625,14.471586,67.99996,44.909668,1.0,25.93,41.71875,0.0,-65.52429,52.252197,0.0,3.6669922,25.52,26.63,25.16,26.4,0
650452.9,0.81793624,1.2006016,0.39143005,0.40053895,100.83542,14.285718,14.056618,-0.9823612,172.5629,46.8513,4.039,0.0,4.039,4.039,4.039,0.0,96.99245,0.0,0.0,449.625,210.75,1935.0,0.0,-8.5703125,0.10247803,109.35163,16141.455,16499.127,1100.0834,499.89316,28.040695,29.079239,0.0,2.602339,2.0,49.353027,31.71719,15.74998,12.749984,1.812,0.0,-27.8125,0.14422607,0.0,0.0,0.0,0.0,0.0,1.2304688,1.3085938,1.6015625,1.640625,0.48760206,0.5416953,0.61493856,0.59411,0.20714122,0.30449378,0.23910888,0.3011368,0.6052491,0.45944914,0.58724344,0.51117724,0.21011673,0.2263676,0.21164264,0.25185016,0.9765625,1.0,55.71289,0.0,94.06411,95.02573,0.0,110.009674,27.441406,1.0,114.44277,94.74156,470.625,544.5,2.602339,126.90625,0.0,125.65625,14.938412,67.99996,46.14868,1.0,26.13,43.28125,0.0,-63.94043,50.933838,0.0,3.6669922,25.74,26.84,25.49,26.52,0
650452.94,0.81434906,1.2114906,0.3966734,0.40253127,100.83548,14.285718,14.058382,-0.9245239,177.06067,48.395424,4.081,0.0,4.081,4.081,4.081,0.0,96.99245,0.0,0.0,450.0,210.375,1948.0,0.0,-8.515625,0.10345459,109.69159,16355.847,16523.008,1100.0834,499.89316,27.023346,29.03685,0.0,2.5506213,2.0,48.898315,31.703365,15.74998,12.374984,1.884,0.0,-27.046875,0.14666748,0.0,0.0,0.0,0.0,0.0,1.2304688,1.3085938,1.6210938,1.6210938,0.48760206,0.5416953,0.61356527,0.59151596,0.20714122,0.30449378,0.23773555,0.299382,0.4759289,0.44502938,0.58724344,0.54253453,0.1652552,0.23125048,0.21164264,0.26726177,0.9824219,1.0,55.737305,0.0,94.46284,95.09212,0.0,110.008705,27.441406,1.0,114.674934,94.92398,472.5,544.5,2.5506213,130.0,0.0,126.46875,14.938412,67.99996,46.728516,1.0,26.4,44.0,0.0,-64.16321,50.32959,0.0,3.6669922,26.13,26.99,25.89,26.63,0
650452.94,0.8114792,1.2720963,0.39587256,0.4032519,100.83553,14.285718,14.059617,-0.88773,183.45291,50.554443,4.121,0.0,4.121,4.121,4.121,0.0,96.99245,0.0,0.0,450.0,210.75,1964.0,0.0,-7.9609375,0.10369873,109.940346,16595.18,16541.05,1100.0834,499.89316,24.47997,29.248796,0.0,2.509247,2.0,47.251892,31.615734,15.37498,12.749984,1.884,0.0,-27.007812,0.14959717,0.0,0.0,0.0,0.0,0.0,1.2109375,1.3085938,1.640625,1.6210938,0.48699167,0.53681237,0.6143282,0.59151596,0.20500496,0.30075532,0.2372015,0.299382,0.4759289,0.44502938,0.6321813,0.5819028,0.1652552,0.23125048,0.2278172,0.28664073,0.984375,1.0,55.74951,0.0,94.71651,95.47104,0.0,110.007835,27.441406,1.0,115.10612,95.11469,472.5,544.125,2.509247,129.875,0.0,126.96875,14.938412,67.99996,47.503662,1.0,26.62,44.875,0.0,-64.920044,49.395752,0.0,3.6669922,26.39,27.31,26.0,26.95,0
650453.0,0.7891834,1.3525887,0.3978306,0.40329427,100.83558,14.285718,14.066341,-0.86394155,189.6613,52.531418,4.158,0.0,4.158,4.158,4.158,0.0,96.99245,0.0,0.0,450.375,210.75,1974.0,0.0,-7.921875,0.10443115,110.05643,16588.281,16611.63,1100.0834,499.89316,24.183245,29.715082,0.0,2.4761477,2.0,47.05963,31.53687,15.37498,12.749984,1.88,0.0,-27.09375,0.15112305,0.0,0.0,0.0,0.0,0.0,1.2109375,1.3085938,1.640625,1.640625,0.48355842,0.53681237,0.6143282,0.5910582,0.20225833,0.30075532,0.2372015,0.29877165,0.4196231,0.4993515,0.544213,0.5819028,0.15121691,0.25940338,0.19607843,0.28664073,0.9863281,1.0,55.760193,0.0,94.88052,95.46512,0.0,110.00705,27.441406,1.0,115.47095,95.29711,472.875,544.125,2.4761477,130.84375,0.0,127.40625,14.938412,67.99996,48.12622,1.0,26.9,45.34375,0.0,-65.36865,49.32251,0.0,3.6645508,26.67,27.48,26.17,27.22,0
650453.06,0.7513467,1.4410355,0.39625114,0.40549853,100.835625,14.285718,14.04761,-0.86662126,195.6594,54.769257,4.2,0.0,4.2,4.2,4.2,0.0,96.99245,0.0,0.0,450.375,210.75,1995.0,0.0,-7.8359375,0.105285645,110.22227,16602.078,16477.371,1100.0834,499.89316,23.462622,29.03685,0.0,2.4496682,2.0,46.321106,31.465889,15.37498,12.749984,1.912,0.0,-27.3125,0.15539551,0.0,0.0,0.0,0.0,0.0,1.2109375,1.3085938,1.640625,1.640625,0.48355842,0.534905,0.61074233,0.59159225,0.20225833,0.29861906,0.23514153,0.29869536,0.49530786,0.48905164,0.544213,0.6031128,0.17845426,0.254139,0.19607843,0.29709315,0.98828125,1.0,55.763245,0.0,94.8621,95.77833,0.0,110.00634,27.441406,1.0,116.13429,95.47953,473.625,543.75,2.4496682,130.28125,0.0,128.4375,14.938412,67.99996,49.04785,1.0,27.13,46.625,0.0,-64.38599,49.157715,0.0,3.6669922,26.87,27.68,26.44,27.39,0
650453.06,0.70107734,1.4764142,0.394137,0.41384926,100.83566,14.285718,14.057937,-0.89673644,195.62303,55.362938,4.241,0.0,4.241,4.241,4.241,0.0,96.99245,0.0,0.0,450.375,210.75,2017.0,0.0,-7.71875,0.10644531,110.354935,16533.621,16521.947,1100.0834,499.89316,24.331608,29.35477,0.0,2.4284844,2.0,46.458435,31.402008,15.37498,12.749984,1.912,0.0,-27.53125,0.16522217,0.0,0.0,0.0,0.0,0.0,1.2304688,1.2890625,1.6601562,1.640625,0.48409247,0.53253984,0.61066604,0.59159225,0.20103762,0.2963302,0.23437858,0.29869536,0.49530786,0.48905164,0.6099794,0.5569543,0.17845426,0.254139,0.21980621,0.2743572,0.9902344,1.0,55.76935,0.0,94.65456,96.62605,0.0,110.00571,27.832031,1.0,116.698135,95.93558,473.625,543.75,2.4284844,129.90625,0.0,131.625,14.938412,67.99996,50.061035,1.0,27.37,49.5625,0.0,-60.90088,48.583984,0.0,3.6669922,27.18,27.88,26.57,27.6,0
