Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_7_12:CB_HSL_SP2933_5G0906259L_0002_BasicsGuide_R07.bin]
4440.533,-1.4984509,0.8823643,0.34460664,0.33432648,101.813995,21.80451,13.811712,-1.6815349,196.3617,49.84121,181.251,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,447.375,212.25,1809.0,0.0,-8.8984375,0.0993042,108.46442,15753.533,15804.478,1100.0834,499.89316,19.244862,29.015656,0.0,4.8950157,3.0,45.185852,29.323141,11.624985,14.249982,1.9,0.0,-29.234375,0.07104492,0.0,0.0,0.0,0.0,0.0,0.8984375,0.9091797,55.6015,1.5625001,90.22336,90.19639,0.0,87.92822,24.804688,1.0,111.747955,90.496185,468.375,544.875,3.3325155,114.03125,0.0,106.90625,13.07111,41.99998,37.3291,1.0,39.36,21.3125,0.0,-67.65137,75.48218,7.6919556,3.6914062,39.8,38.95,39.81,38.57,0
4440.573,-1.3987608,0.9154457,0.33541235,0.3316559,101.81403,21.80451,13.816636,-1.8157161,199.54556,50.705345,181.288,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,447.375,212.25,1811.0,0.0,-8.875,0.09942627,108.621956,15869.751,15709.487,1100.0834,499.89316,15.599359,27.765163,0.0,4.853513,3.0,43.17627,29.323158,11.999985,14.249982,1.9,0.0,-29.3125,0.068725586,0.0,0.0,0.0,0.0,0.0,0.8955078,0.90722656,55.567932,1.5625001,89.2985,90.031586,0.0,87.9354,24.609375,1.0,112.369835,90.404976,468.375,544.875,3.2910125,109.6875,0.0,105.875,12.13746,41.99998,37.609863,1.0,39.47,20.625,0.0,-69.20166,76.293945,6.95343,3.6914062,39.95,39.03,39.69,38.7,0
4440.614,-1.2790086,0.9474283,0.33165148,0.33280045,101.81407,21.80451,13.796645,-1.8544127,202.63461,51.51872,181.328,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,447.375,212.625,1812.0,0.0,-9.0546875,0.099487305,108.663414,15754.064,15639.97,1100.0834,499.89316,15.0271,27.722773,0.0,4.66406,3.0,42.733765,29.323174,11.999985,14.624981,1.88,0.0,-29.867188,0.06958008,0.0,0.0,0.0,0.0,0.0,0.8935547,0.90527344,55.54657,1.5625001,89.03181,90.13664,0.0,87.941864,24.609375,1.0,112.626884,90.380104,468.375,545.25,3.10156,108.125,0.0,106.09375,12.13746,41.99998,38.00659,1.0,39.6,20.875,0.0,-70.010376,76.00708,5.857849,3.6914062,40.13,39.16,39.8,38.72,0
4440.654,-1.1832069,0.9602213,0.33408588,0.33301243,101.8141,21.80451,13.80023,-1.8202819,202.69788,51.847652,181.369,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,447.375,212.625,1823.0,0.0,-9.296875,0.09899902,108.4727,15660.666,15686.138,1100.0834,499.89316,16.468344,28.040695,0.0,4.5124984,3.0,43.48297,29.323187,11.999985,14.624981,1.88,0.0,-29.96875,0.07196045,0.0,0.0,0.0,0.0,0.0,0.88964844,0.90625,55.567932,1.5625001,89.2671,90.114525,0.0,87.94768,24.609375,1.0,112.85076,90.39668,468.375,545.25,2.9499981,108.3125,0.0,106.125,12.604284,41.99998,38.671875,1.0,39.66,21.59375,0.0,-70.08972,75.128174,4.899597,3.6914062,40.19,39.29,39.97,39.03,0
4440.695,-1.1065656,0.9465885,0.337714,0.3342417,101.81413,21.80451,13.79688,-1.7901955,199.612,51.198364,181.409,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,448.125,212.25,1828.0,0.0,-9.2109375,0.099609375,108.45612,15536.488,15720.102,1100.0834,499.89316,20.241016,28.125475,0.0,4.3912487,3.0,45.35675,29.323198,11.999985,14.249982,1.816,0.0,-29.515625,0.07385254,0.0,0.0,0.0,0.0,0.0,0.8935547,0.9082031,55.586243,1.5625001,89.47451,90.11619,0.0,87.95291,24.609375,1.0,112.975136,90.36352,468.375,545.25,2.8287485,110.375,0.0,106.4375,12.604284,41.99998,38.793945,1.0,39.82,22.15625,0.0,-70.39795,74.54224,3.9993286,3.6914062,40.19,39.55,40.01,39.11,0
4440.733,-1.0052525,0.9411354,0.3415863,0.33381778,101.814156,21.80451,13.823832,-1.8018993,199.59917,51.391113,181.45,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,447.75,212.25,1835.0,0.0,-9.09375,0.099731445,108.56391,15658.543,15746.635,1100.0834,499.89316,18.503044,28.273838,0.0,4.294249,3.0,44.413757,29.32321,11.999985,14.249982,1.868,0.0,-29.03125,0.07458496,0.0,0.0,0.0,0.0,0.0,0.89746094,0.9091797,55.58777,1.5625001,89.39386,89.63951,0.0,87.95762,24.609375,1.0,113.22388,90.23914,468.75,545.25,2.7317488,112.53125,0.0,106.59375,12.604284,41.99998,39.215088,1.0,39.96,22.375,0.0,-71.2677,74.3042,2.8915405,3.6914062,40.26,39.61,40.32,39.19,0
4440.773,-0.904202,0.9577042,0.33671528,0.33513185,101.81418,21.80451,13.825119,-1.8660634,202.75754,52.375,181.488,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,447.75,212.25,1841.0,0.0,-8.7421875,0.09979248,108.63025,15707.365,15639.97,1100.0834,499.89316,16.425955,27.553215,0.0,4.216649,3.0,43.244934,29.32322,11.999985,14.249982,1.868,0.0,-28.890625,0.07562256,0.0,0.0,0.0,0.0,0.0,0.8935547,0.9091797,55.574036,1.5625001,88.95161,89.858795,0.0,87.96186,24.609375,1.0,113.572136,90.16451,468.75,544.875,2.654149,110.375,0.0,106.9375,12.13746,41.99998,39.56909,1.0,40.08,22.6875,0.0,-72.18628,73.9563,1.6189575,3.6914062,40.49,39.75,40.28,39.44,0
4440.814,-0.8033616,0.9643317,0.33644465,0.33547097,101.8142,21.80451,13.820161,-1.8696097,202.81374,52.474888,181.528,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,447.75,212.25,1844.0,0.0,-8.9921875,0.099853516,108.69658,15592.74,15674.994,1100.0834,499.89316,18.375875,27.553215,0.0,3.9983196,3.0,44.288635,29.323227,11.999985,14.249982,1.848,0.0,-28.976562,0.07623291,0.0,0.0,0.0,0.0,0.0,0.8955078,0.9091797,55.577087,1.5625001,88.927185,89.99418,0.0,87.965675,24.609375,1.0,113.76284,90.147934,468.75,544.875,2.4358194,110.21875,0.0,107.03125,12.13746,41.99998,39.86206,1.0,40.24,22.875,0.0,-72.90039,73.75488,0.7034302,3.6914062,40.58,39.95,40.28,39.61,0
4440.853,-0.7026893,0.9669827,0.33651373,0.3361492,101.814224,21.80451,13.81669,-1.8618407,202.76222,52.689156,181.569,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,447.75,212.25,1852.0,0.0,-9.0,0.099487305,108.64683,15568.859,15702.059,1100.0834,499.89316,19.117693,27.65919,0.0,3.8236556,3.0,44.72046,29.323235,11.999985,14.249982,1.848,0.0,-28.953125,0.078186035,0.0,0.0,0.0,0.0,0.0,0.8925781,0.9091797,55.577087,1.5625001,88.98076,89.93721,0.0,87.96911,24.609375,1.0,114.01988,90.13135,468.75,544.875,2.2611554,110.1875,0.0,107.25,12.13746,41.99998,40.270996,1.0,40.27,23.46875,0.0,-73.2605,73.03467,0.0,3.6914062,40.61,40.11,40.58,39.62,0
4440.894,-0.5821514,0.98679316,0.33886427,0.33653075,101.81424,21.80451,13.820121,-1.8416618,205.86682,53.669224,181.608,0.0,5.84,22.851,37.97,0.0,99.248116,0.0,0.0,448.5,212.25,1858.0,0.0,-8.9609375,0.10015869,108.68,15558.246,15717.979,1100.0834,499.89316,20.21982,27.934721,0.0,3.6839242,3.0,45.05005,29.323242,11.999985,14.249982,1.816,0.0,-28.929688,0.0793457,0.0,0.0,0.0,0.0,0.0,0.8955078,0.91015625,55.59082,1.5625001,89.119865,89.84028,0.0,87.9722,24.609375,1.0,114.18573,90.09818,469.125,544.875,2.1214242,111.125,0.0,107.3125,12.13746,41.99998,40.649414,1.0,40.44,23.8125,0.0,-73.75183,72.717285,0.0,3.6914062,40.64,40.22,40.48,39.86,0
